,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,47,2021-12-16 12:08:00,4.432251871914583e-08,66,2021-12-16 12:30:00,0.5,1.5
1,47,2021-12-16 12:08:00,4.432251871914583e-08,82,2021-12-16 12:46:00,0.5,2.641724615795735
2,225,2021-12-16 15:38:00,1.2335222830467366e-07,226,2021-12-16 15:39:00,0.5,1.5
3,225,2021-12-16 15:38:00,1.2335222830467366e-07,350,2021-12-16 18:09:00,0.5,1.7579005736638986
4,360,2021-12-16 18:20:00,2.824159933156119e-07,386,2021-12-16 18:58:00,1.0,0.75
5,1010,2021-12-17 19:59:00,2.445033390335772e-07,1018,2021-12-17 20:13:00,0.5,1.5
6,1010,2021-12-17 19:59:00,2.445033390335772e-07,1065,2021-12-17 21:51:00,0.5,1.5170995989600355
7,1575,2021-12-19 17:44:00,4.119326871952188e-07,1576,2021-12-19 17:45:00,0.5,1.5
8,1575,2021-12-19 17:44:00,4.119326871952188e-07,1579,2021-12-19 17:48:00,0.5,2.284823331320449
9,1596,2021-12-19 18:06:00,7.004312713487633e-07,1646,2021-12-19 18:58:00,1.0,0.75
10,1647,2021-12-19 18:59:00,6.218100707954642e-07,1882,2021-12-20 05:42:00,0.5,1.5
11,1647,2021-12-19 18:59:00,6.218100707954642e-07,2016,2021-12-20 14:06:00,0.5,1.2552587067381178
12,2351,2021-12-21 16:48:00,3.700006046993094e-07,2438,2021-12-21 21:55:00,1.0,0.75
13,2820,2021-12-23 07:51:00,3.328158714322456e-07,2906,2021-12-23 09:36:00,1.0,0.75
14,2908,2021-12-23 09:40:00,2.4003378280936605e-07,3022,2021-12-23 17:44:00,1.0,0.75
15,3875,2021-12-27 17:10:00,5.805788625533767e-08,3879,2021-12-27 17:14:00,0.5,1.5
16,3875,2021-12-27 17:10:00,5.805788625533767e-08,3934,2021-12-27 21:46:00,0.5,1.016807088670893
17,3949,2021-12-28 00:54:00,4.8907315293162074e-08,3949,2021-12-28 00:54:00,0.5,1.5
18,3949,2021-12-28 00:54:00,4.8907315293162074e-08,3951,2021-12-28 00:56:00,0.5,5.568233671209779
19,3997,2021-12-28 01:42:00,3.680103279809405e-07,4002,2021-12-28 01:47:00,0.5,1.5
20,3997,2021-12-28 01:42:00,3.680103279809405e-07,4008,2021-12-28 01:53:00,0.5,1.7256964030186603
21,4042,2021-12-28 02:27:00,8.065263675679653e-07,4059,2021-12-28 02:44:00,1.0,0.75
22,4065,2021-12-28 02:50:00,8.116544635961015e-07,4073,2021-12-28 02:58:00,1.0,0.75
23,4095,2021-12-28 03:20:00,5.034218561815924e-07,4124,2021-12-28 03:50:00,1.0,0.75
24,4131,2021-12-28 03:57:00,3.994166366024757e-07,4151,2021-12-28 04:17:00,1.0,0.75
25,4326,2021-12-28 08:31:00,2.910237268412327e-07,4470,2021-12-28 12:50:00,1.0,0.75
26,4536,2021-12-28 14:38:00,1.785969855992796e-07,4567,2021-12-28 15:15:00,0.5,1.5
27,4536,2021-12-28 14:38:00,1.785969855992796e-07,4614,2021-12-28 16:37:00,0.5,1.0446725270277093
28,5687,2022-01-02 18:02:00,3.021688463672442e-07,5816,2022-01-02 20:58:00,1.0,0.75
29,6645,2022-01-08 09:28:00,3.494705264956955e-07,6645,2022-01-08 09:28:00,0.5,1.5
30,6645,2022-01-08 09:28:00,3.494705264956955e-07,6663,2022-01-08 09:46:00,0.5,1.1644941111975202
31,6688,2022-01-08 10:13:00,3.539766323944799e-07,6804,2022-01-08 13:27:00,1.0,0.75
