,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,17,2021-12-24 10:33:00,1.372366531633845e-06,33,2021-12-24 10:59:00,0.5,1.5
1,17,2021-12-24 10:33:00,1.372366531633845e-06,36,2021-12-24 11:02:00,0.5,3.817608560758236
2,43,2021-12-24 11:09:00,3.489689967008591e-06,76,2021-12-24 11:42:00,1.0,0.75
3,81,2021-12-24 11:47:00,2.423288657648411e-06,110,2021-12-24 12:16:00,1.0,0.75
4,123,2021-12-24 12:29:00,1.9010957447633928e-06,335,2021-12-24 16:29:00,0.5,1.5
5,123,2021-12-24 12:29:00,1.9010957447633928e-06,422,2021-12-24 17:56:00,0.5,3.5355194910362484
6,430,2021-12-24 18:04:00,6.152097002277099e-06,471,2021-12-24 18:45:00,0.5,1.5
7,430,2021-12-24 18:04:00,6.152097002277099e-06,648,2021-12-24 22:52:00,0.5,1.010001446778196
8,682,2021-12-24 23:30:00,6.202911920288861e-06,749,2021-12-25 00:39:00,0.5,1.5
9,682,2021-12-24 23:30:00,6.202911920288861e-06,897,2021-12-25 03:14:00,0.5,1.8919799878651944
10,905,2021-12-25 03:22:00,1.2734520830631866e-05,996,2021-12-25 04:53:00,0.5,1.5
11,905,2021-12-25 03:22:00,1.2734520830631866e-05,1035,2021-12-25 05:32:00,0.5,1.0838168791753824
12,1038,2021-12-25 05:35:00,1.3023592295778167e-05,1133,2021-12-25 07:10:00,1.0,0.75
13,1148,2021-12-25 07:25:00,9.776655107402816e-06,1402,2021-12-25 12:05:00,1.0,0.75
14,1419,2021-12-25 12:22:00,6.724005085639333e-06,1664,2021-12-25 17:02:00,1.0,0.75
15,1681,2021-12-25 17:19:00,5.456722362323121e-06,1824,2021-12-26 00:08:00,1.0,0.75
16,2304,2021-12-26 12:52:00,3.102999656720142e-06,2418,2021-12-26 16:01:00,0.5,1.5
17,2304,2021-12-26 12:52:00,3.102999656720142e-06,2481,2021-12-26 17:15:00,0.5,1.787471723919287
18,2485,2021-12-26 17:19:00,5.253414019310878e-06,3761,2021-12-29 18:15:00,0.5,1.5
19,2485,2021-12-26 17:19:00,5.253414019310878e-06,3875,2021-12-29 21:24:00,0.5,1.0069795365372356
20,4137,2021-12-30 06:44:00,7.173283018376967e-06,4411,2021-12-31 01:56:00,1.0,0.75
21,4986,2022-01-02 04:39:00,2.1009256557643783e-06,5025,2022-01-02 06:00:00,0.5,1.5
22,4986,2022-01-02 04:39:00,2.1009256557643783e-06,5245,2022-01-03 07:15:00,0.5,1.0327651103369138
