,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,117,2021-12-23 09:08:00,2.899150055313298e-09,255,2021-12-23 11:34:00,0.5,1.5
1,117,2021-12-23 09:08:00,2.899150055313298e-09,619,2021-12-24 18:18:00,0.5,1.0959006249417849
2,631,2021-12-24 18:39:00,1.3043606668270704e-11,631,2021-12-24 18:39:00,1.0,0.75
3,635,2021-12-24 18:43:00,1.98473688967484e-11,635,2021-12-24 18:43:00,0.5,1.5
4,635,2021-12-24 18:43:00,1.98473688967484e-11,639,2021-12-24 18:47:00,0.5,3.6368889046340547
5,716,2021-12-24 20:27:00,1.930707987655796e-11,732,2021-12-24 21:00:00,0.5,1.5
6,716,2021-12-24 20:27:00,1.930707987655796e-11,740,2021-12-24 21:20:00,0.5,2.5933805432789834
7,1055,2022-01-06 06:30:00,1.1340823526887202e-11,1055,2022-01-06 06:30:00,0.5,1.5
8,1055,2022-01-06 06:30:00,1.1340823526887202e-11,1057,2022-01-06 06:58:00,0.5,2.0409951699633075
9,1085,2022-01-11 05:07:00,1.7065087818915967e-11,1102,2022-01-15 01:02:00,0.5,1.5
10,1085,2022-01-11 05:07:00,1.7065087818915967e-11,1115,2022-01-15 19:38:00,0.5,2.4752946818729806
11,1116,2022-01-15 21:00:00,4.2814252460894017e-11,1116,2022-01-15 21:00:00,1.0,0.75
