,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,2,2021-12-27 20:53:00,2.691084805394013e-07,2,2021-12-27 20:53:00,0.5,1.5
1,2,2021-12-27 20:53:00,2.691084805394013e-07,8,2021-12-27 20:59:00,0.5,2.9622942530964522
2,13,2021-12-27 21:04:00,8.568029890446928e-07,35,2021-12-27 21:26:00,0.5,1.5
3,13,2021-12-27 21:04:00,8.568029890446928e-07,60,2021-12-27 21:52:00,0.5,2.3706921145752196
4,84,2021-12-27 22:16:00,2.346825906416444e-06,100,2021-12-27 22:34:00,1.0,0.75
5,115,2021-12-27 22:50:00,9.781228792160998e-07,118,2021-12-27 22:53:00,0.5,1.5
6,115,2021-12-27 22:50:00,9.781228792160998e-07,178,2021-12-28 00:36:00,0.5,2.0789825669363524
7,308,2021-12-28 05:15:00,3.938103686571748e-06,350,2021-12-28 06:02:00,1.0,0.75
8,427,2021-12-28 08:08:00,3.349295977810301e-06,553,2021-12-28 10:30:00,0.5,1.5
9,427,2021-12-28 08:08:00,3.349295977810301e-06,560,2021-12-28 10:38:00,0.5,1.6502246865767716
10,565,2021-12-28 10:43:00,5.145176050254304e-06,794,2021-12-28 14:59:00,0.5,1.5
11,565,2021-12-28 10:43:00,5.145176050254304e-06,902,2021-12-28 16:47:00,0.5,2.8152732008156574
12,904,2021-12-28 16:49:00,1.3245961116652054e-05,968,2021-12-28 17:53:00,0.5,1.5
13,904,2021-12-28 16:49:00,1.3245961116652054e-05,1006,2021-12-28 18:31:00,0.5,1.1344678936215802
14,1015,2021-12-28 18:40:00,1.5521493319869366e-05,1025,2021-12-28 18:50:00,1.0,0.75
15,1030,2021-12-28 18:55:00,1.1638404452128994e-05,1038,2021-12-28 19:03:00,1.0,0.75
16,1052,2021-12-28 19:17:00,1.178626161695945e-05,1066,2021-12-28 19:31:00,0.5,1.5
17,1052,2021-12-28 19:17:00,1.178626161695945e-05,1078,2021-12-28 19:43:00,0.5,1.074565268644817
18,1127,2021-12-28 20:35:00,1.0057877005791958e-05,1255,2021-12-28 22:56:00,0.5,1.5
19,1127,2021-12-28 20:35:00,1.0057877005791958e-05,1522,2021-12-29 04:31:00,0.5,1.0528371984068914
20,1900,2021-12-29 13:10:00,6.435276117174365e-06,2281,2021-12-29 23:06:00,0.5,1.5
21,1900,2021-12-29 13:10:00,6.435276117174365e-06,2283,2021-12-29 23:08:00,0.5,2.718657177093221
22,2295,2021-12-29 23:21:00,1.0110513168072445e-05,2308,2021-12-29 23:34:00,0.5,1.5
23,2295,2021-12-29 23:21:00,1.0110513168072445e-05,2312,2021-12-29 23:38:00,0.5,1.9811427682503662
24,2336,2021-12-30 00:03:00,1.4241404428551512e-05,2443,2021-12-30 02:53:00,1.0,0.75
25,2829,2021-12-30 15:42:00,1.7198117329049685e-05,2932,2021-12-30 17:30:00,1.0,0.75
26,2937,2021-12-30 17:35:00,1.3326927244500878e-05,3470,2021-12-31 07:42:00,1.0,0.75
27,3663,2021-12-31 14:08:00,1.020407742897195e-05,3789,2021-12-31 17:33:00,1.0,0.75
28,4027,2021-12-31 23:29:00,6.98841606454791e-06,4058,2022-01-01 00:22:00,1.0,0.75
29,4091,2022-01-01 00:56:00,4.26130849778087e-06,4097,2022-01-01 01:02:00,0.5,1.5
30,4091,2022-01-01 00:56:00,4.26130849778087e-06,4162,2022-01-01 02:43:00,0.5,1.4901041159929767
31,4309,2022-01-01 06:35:00,2.469572060234408e-06,4370,2022-01-01 08:09:00,1.0,0.75
32,4372,2022-01-01 08:11:00,1.8474000552178344e-06,4457,2022-01-01 10:12:00,1.0,0.75
33,4501,2022-01-01 11:16:00,2.108193496124731e-06,4561,2022-01-01 13:09:00,0.5,1.5
34,4501,2022-01-01 11:16:00,2.108193496124731e-06,4621,2022-01-01 14:57:00,0.5,1.0046703148344514
35,4659,2022-01-01 16:29:00,2.4975029826917284e-06,4710,2022-01-01 18:38:00,1.0,0.75
36,5779,2022-01-05 01:58:00,2.387422721364035e-06,5880,2022-01-05 05:53:00,1.0,0.75
