,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,2,2022-01-07 18:57:00,3.4665201744417416e-25,3,2022-01-07 18:58:00,0.5,1.5
1,2,2022-01-07 18:57:00,3.4665201744417416e-25,6,2022-01-07 19:04:00,0.5,1.965868228327846
2,25,2022-01-07 19:28:00,2.742043866379325e-24,32,2022-01-07 19:36:00,0.5,1.5
3,25,2022-01-07 19:28:00,2.742043866379325e-24,57,2022-01-07 20:01:00,0.5,4.783996737545934
4,62,2022-01-07 20:07:00,8.435459717499568e-24,81,2022-01-07 20:28:00,0.5,1.5
5,62,2022-01-07 20:07:00,8.435459717499568e-24,88,2022-01-07 20:35:00,0.5,2.182322361123227
6,96,2022-01-07 20:44:00,1.2157152184666185e-23,99,2022-01-07 20:48:00,0.5,1.5
7,96,2022-01-07 20:44:00,1.2157152184666185e-23,101,2022-01-07 20:50:00,0.5,1.611452895291911
8,148,2022-01-07 22:02:00,2.6207874773396066e-23,150,2022-01-07 22:04:00,1.0,0.75
9,285,2022-01-08 01:05:00,4.9610403115057874e-23,310,2022-01-08 01:31:00,1.0,0.75
10,401,2022-01-08 03:19:00,3.959617400710501e-23,401,2022-01-08 03:19:00,0.5,1.5
11,401,2022-01-08 03:19:00,3.959617400710501e-23,406,2022-01-08 03:25:00,0.5,1.5108873155833975
12,425,2022-01-08 03:48:00,4.0349036546433394e-23,468,2022-01-08 04:50:00,1.0,0.75
13,506,2022-01-08 05:38:00,8.409180759715964e-23,508,2022-01-08 05:40:00,1.0,0.75
14,519,2022-01-08 05:52:00,7.164816247755408e-23,589,2022-01-08 07:35:00,0.5,1.5
15,519,2022-01-08 05:52:00,7.164816247755408e-23,627,2022-01-08 08:19:00,0.5,1.6155415337653256
16,643,2022-01-08 08:35:00,1.235845472850738e-22,653,2022-01-08 08:47:00,1.0,0.75
17,757,2022-01-08 11:03:00,1.3643462928887842e-22,800,2022-01-08 12:03:00,1.0,0.75
18,852,2022-01-08 13:07:00,5.914821999914951e-23,898,2022-01-08 13:57:00,1.0,0.75
19,963,2022-01-08 15:18:00,4.0237997656626657e-23,970,2022-01-08 15:25:00,0.5,1.5
20,963,2022-01-08 15:18:00,4.0237997656626657e-23,996,2022-01-08 16:03:00,0.5,2.487658422022248
21,1003,2022-01-08 16:11:00,9.522023132586276e-23,1012,2022-01-08 16:24:00,1.0,0.75
22,1137,2022-01-09 00:28:00,7.568173915711759e-23,1186,2022-01-09 02:15:00,0.5,1.5
23,1137,2022-01-09 00:28:00,7.568173915711759e-23,1229,2022-01-09 03:58:00,0.5,1.158235859673979
24,1276,2022-01-09 06:04:00,9.080553313245199e-23,1295,2022-01-09 06:33:00,0.5,1.5
25,1276,2022-01-09 06:04:00,9.080553313245199e-23,1329,2022-01-09 07:17:00,0.5,1.1524206343967538
26,1347,2022-01-09 07:55:00,9.176479191249382e-23,1348,2022-01-09 07:56:00,0.5,1.5
27,1347,2022-01-09 07:55:00,9.176479191249382e-23,1356,2022-01-09 08:04:00,0.5,2.0659119824965964
28,1359,2022-01-09 08:07:00,1.652790480257232e-22,1403,2022-01-09 08:51:00,1.0,0.75
29,1709,2022-01-09 16:55:00,1.8597424161370144e-22,1739,2022-01-09 17:28:00,1.0,0.75
30,2131,2022-01-10 07:02:00,2.602316969793308e-22,2358,2022-01-10 12:21:00,1.0,0.75
31,2915,2022-01-11 11:51:00,1.612775012329575e-22,3341,2022-01-12 15:03:00,1.0,0.75
32,3384,2022-01-12 16:26:00,1.1418357910031929e-22,3443,2022-01-12 23:40:00,0.5,1.5
33,3384,2022-01-12 16:26:00,1.1418357910031929e-22,3491,2022-01-13 01:58:00,0.5,1.005902203082482
34,3494,2022-01-13 02:21:00,1.138711970002616e-22,3505,2022-01-13 02:43:00,1.0,0.75
35,3508,2022-01-13 02:46:00,8.15496539479874e-23,3641,2022-01-13 07:22:00,0.5,1.5
36,3508,2022-01-13 02:46:00,8.15496539479874e-23,3739,2022-01-13 10:54:00,0.5,1.386889838203383
37,3802,2022-01-13 13:18:00,7.428799715423241e-23,3969,2022-01-14 05:58:00,0.5,1.5
38,3802,2022-01-13 13:18:00,7.428799715423241e-23,4111,2022-01-14 18:14:00,0.5,1.0013145340746372
39,4806,2022-01-18 07:11:00,1.3955734386086116e-22,5145,2022-01-18 16:53:00,0.5,1.5
40,4806,2022-01-18 07:11:00,1.3955734386086116e-22,5148,2022-01-18 16:56:00,0.5,2.075020575564894
41,5155,2022-01-18 17:03:00,2.77769229896237e-22,5156,2022-01-18 17:04:00,1.0,0.75
42,5162,2022-01-18 17:10:00,2.372092168208801e-22,5168,2022-01-18 17:16:00,1.0,0.75
43,5447,2022-01-19 02:27:00,2.065288889563156e-22,5458,2022-01-19 02:41:00,1.0,0.75
44,5487,2022-01-19 03:31:00,1.5996505186192845e-22,5841,2022-01-19 09:30:00,0.5,1.5
45,5487,2022-01-19 03:31:00,1.5996505186192845e-22,5918,2022-01-19 10:48:00,0.5,1.0163405810652422
46,5919,2022-01-19 10:49:00,1.6274409732820486e-22,6167,2022-01-19 15:24:00,1.0,0.75
47,6185,2022-01-19 15:47:00,1.2156664142557096e-22,6249,2022-01-19 17:07:00,0.5,1.5
