,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,33,2021-11-01 13:42:00,3.747394338922719e-08,69,2021-11-01 14:18:00,1.0,0.75
1,108,2021-11-01 14:57:00,2.6541904996605227e-08,178,2021-11-01 16:08:00,1.0,0.75
2,491,2021-11-02 01:14:00,3.3706512002665224e-08,611,2021-11-02 03:45:00,1.0,0.75
3,1900,2021-11-05 05:23:00,2.5248238084891513e-08,2263,2021-11-06 05:01:00,1.0,0.75
4,2780,2021-11-09 02:00:00,2.006013223321757e-08,3006,2021-11-09 13:48:00,0.5,1.5
5,2780,2021-11-09 02:00:00,2.006013223321757e-08,3564,2021-11-11 08:27:00,0.5,2.7761493839849307
6,3583,2021-11-11 08:47:00,5.105552994182817e-08,3914,2021-11-12 10:53:00,0.5,1.5
7,3583,2021-11-11 08:47:00,5.105552994182817e-08,4281,2021-11-13 03:34:00,0.5,2.520777777596189
8,4292,2021-11-13 03:45:00,1.1636559468407497e-07,4386,2021-11-13 06:34:00,0.5,1.5
9,4292,2021-11-13 03:45:00,1.1636559468407497e-07,4904,2021-11-14 05:37:00,0.5,1.029562680670517
10,4997,2021-11-14 08:11:00,8.380542340785805e-08,5663,2021-11-16 05:30:00,0.5,1.5
11,4997,2021-11-14 08:11:00,8.380542340785805e-08,6306,2021-11-18 09:35:00,0.5,1.0042676266847392
