,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,10,2021-12-16 14:20:00,8.983230801589056e-08,10,2021-12-16 14:20:00,0.5,1.5
1,10,2021-12-16 14:20:00,8.983230801589056e-08,12,2021-12-16 14:22:00,0.5,2.299539200803259
2,28,2021-12-16 14:38:00,2.9606938130530605e-07,47,2021-12-16 14:57:00,0.5,1.5
3,28,2021-12-16 14:38:00,2.9606938130530605e-07,50,2021-12-16 15:00:00,0.5,2.0952050826812822
4,61,2021-12-16 15:11:00,5.844998815838289e-07,62,2021-12-16 15:12:00,1.0,0.75
5,69,2021-12-16 15:19:00,5.538670138143017e-07,117,2021-12-16 16:08:00,1.0,0.75
6,143,2021-12-16 16:37:00,4.413029581964854e-07,254,2021-12-16 18:50:00,1.0,0.75
7,320,2021-12-16 20:02:00,2.766560847209461e-07,376,2021-12-16 21:22:00,0.5,1.5
8,320,2021-12-16 20:02:00,2.766560847209461e-07,417,2021-12-16 22:08:00,0.5,2.297914148376344
9,428,2021-12-16 22:19:00,4.943574378964703e-07,449,2021-12-16 22:40:00,0.5,1.5
10,428,2021-12-16 22:19:00,4.943574378964703e-07,454,2021-12-16 22:45:00,0.5,1.6284704047417107
11,459,2021-12-16 22:50:00,5.609401133781832e-07,536,2021-12-17 00:12:00,1.0,0.75
12,1405,2021-12-18 16:59:00,6.708120373812137e-07,1419,2021-12-18 17:13:00,1.0,0.75
13,1717,2021-12-19 14:51:00,3.687495398866433e-07,1849,2021-12-20 01:19:00,1.0,0.75
