,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,7,2021-12-19 19:40:00,1.9647447566423247e-05,12,2021-12-19 19:45:00,1.0,0.75
1,14,2021-12-19 19:47:00,1.519936464925355e-05,84,2021-12-19 21:13:00,0.5,1.5
2,14,2021-12-19 19:47:00,1.519936464925355e-05,237,2021-12-20 03:09:00,0.5,2.822745772171758
3,253,2021-12-20 03:25:00,4.823009485607963e-05,366,2021-12-20 05:27:00,1.0,0.75
4,390,2021-12-20 05:54:00,3.614578889084934e-05,425,2021-12-20 06:45:00,1.0,0.75
5,427,2021-12-20 06:47:00,2.6606754060076887e-05,582,2021-12-20 11:52:00,0.5,1.5
6,427,2021-12-20 06:47:00,2.6606754060076887e-05,698,2021-12-20 16:51:00,0.5,1.0277757641094467
7,1269,2021-12-22 23:48:00,2.103442791151913e-05,1632,2021-12-25 10:47:00,0.5,1.5
8,1269,2021-12-22 23:48:00,2.103442791151913e-05,1734,2021-12-26 01:12:00,0.5,1.0035491713694416
9,2466,2021-12-30 16:44:00,3.0688503342017665e-05,2622,2021-12-31 10:19:00,1.0,0.75
