,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,2,2021-12-01 14:14:00,1.144021585755755e-16,3,2021-12-01 14:15:00,0.5,1.5
1,2,2021-12-01 14:14:00,1.144021585755755e-16,23,2021-12-01 14:35:00,0.5,177.0412226184098
2,45,2021-12-01 14:57:00,4.347796161568867e-14,52,2021-12-01 15:04:00,0.5,1.5
3,45,2021-12-01 14:57:00,4.347796161568867e-14,57,2021-12-01 15:09:00,0.5,2.0978778167174483
4,58,2021-12-01 15:10:00,9.211026991235909e-14,58,2021-12-01 15:10:00,1.0,0.75
5,62,2021-12-01 15:14:00,9.586304385885233e-14,62,2021-12-01 15:14:00,1.0,0.75
6,70,2021-12-01 15:22:00,8.35507844499126e-14,73,2021-12-01 15:25:00,1.0,0.75
7,382,2021-12-03 08:29:00,1.7814107977348546e-13,382,2021-12-03 08:29:00,1.0,0.75
8,480,2021-12-04 12:31:00,1.576804962647675e-13,497,2021-12-04 17:44:00,0.5,1.5
9,480,2021-12-04 12:31:00,1.576804962647675e-13,499,2021-12-04 17:47:00,0.5,1.4749055990615034
10,546,2021-12-05 08:43:00,2.5955912047590993e-13,553,2021-12-05 08:51:00,0.5,1.5
11,546,2021-12-05 08:43:00,2.5955912047590993e-13,555,2021-12-05 08:53:00,0.5,1.1632452907091566
12,601,2021-12-05 13:50:00,3.955231642972053e-13,619,2021-12-05 14:42:00,0.5,1.5
13,601,2021-12-05 13:50:00,3.955231642972053e-13,626,2021-12-05 14:50:00,0.5,2.8561239234956903
14,628,2021-12-05 14:52:00,9.825984878895189e-13,660,2021-12-05 15:59:00,1.0,0.75
15,678,2021-12-05 16:44:00,8.522764451030332e-13,838,2021-12-06 13:08:00,1.0,0.75
16,1594,2021-12-09 10:39:00,1.0482217072245907e-12,1617,2021-12-09 11:24:00,1.0,0.75
17,2294,2021-12-16 10:50:00,8.73010415802531e-13,2327,2021-12-16 11:23:00,0.5,1.5
18,2294,2021-12-16 10:50:00,8.73010415802531e-13,2359,2021-12-16 11:55:00,0.5,1.925996237284819
19,2365,2021-12-16 12:02:00,1.5085727674729877e-12,2585,2021-12-16 15:48:00,0.5,1.5
20,2365,2021-12-16 12:02:00,1.5085727674729877e-12,2722,2021-12-16 18:05:00,0.5,2.412633441358136
