,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,233,2021-12-21 19:35:00,1.517530781969502e-12,320,2021-12-21 21:36:00,0.5,1.5
1,233,2021-12-21 19:35:00,1.517530781969502e-12,356,2021-12-21 22:12:00,0.5,3.1928469423293904
2,376,2021-12-21 22:32:00,3.1110448027197387e-12,397,2021-12-21 22:55:00,0.5,1.5
3,376,2021-12-21 22:32:00,3.1110448027197387e-12,460,2021-12-22 00:10:00,0.5,1.5566040333118438
4,541,2021-12-22 01:48:00,1.8640975032366986e-12,557,2021-12-22 02:04:00,0.5,1.5
5,541,2021-12-22 01:48:00,1.8640975032366986e-12,634,2021-12-22 05:27:00,0.5,1.5055093553001853
6,1092,2021-12-23 06:12:00,1.4231844414930166e-12,1139,2021-12-23 07:03:00,0.5,1.5
7,1092,2021-12-23 06:12:00,1.4231844414930166e-12,1234,2021-12-23 08:44:00,0.5,2.7882651467234667
8,1235,2021-12-23 08:45:00,3.976925402650699e-12,1292,2021-12-23 09:48:00,1.0,0.75
9,1319,2021-12-23 10:15:00,2.690376633804784e-12,1344,2021-12-23 10:40:00,1.0,0.75
10,1345,2021-12-23 10:41:00,2.039658766232337e-12,1354,2021-12-23 10:50:00,0.5,1.5
11,1345,2021-12-23 10:41:00,2.039658766232337e-12,1399,2021-12-23 11:35:00,0.5,0.7601200243640738
12,1402,2021-12-23 11:38:00,1.550349880624657e-12,1407,2021-12-23 11:43:00,1.0,0.75
13,1424,2021-12-23 12:00:00,1.3183854639616984e-12,3234,2021-12-26 00:52:00,0.5,1.5
14,1424,2021-12-23 12:00:00,1.3183854639616984e-12,3890,2021-12-26 20:33:00,0.5,1.8541886555416869
15,3896,2021-12-26 20:40:00,2.3406431769773585e-12,4128,2021-12-27 03:20:00,0.5,1.5
16,3896,2021-12-26 20:40:00,2.3406431769773585e-12,4638,2021-12-27 15:19:00,0.5,3.09722422332801
17,4651,2021-12-27 15:32:00,4.028656265142241e-12,4661,2021-12-27 15:42:00,0.5,1.5
18,4651,2021-12-27 15:32:00,4.028656265142241e-12,4693,2021-12-27 16:14:00,0.5,1.5292346259024954
19,4713,2021-12-27 16:35:00,5.9727738770460006e-12,5110,2021-12-28 00:25:00,0.5,1.5
20,4713,2021-12-27 16:35:00,5.9727738770460006e-12,6196,2021-12-29 01:01:00,0.5,1.02038299368684
21,6306,2021-12-29 03:53:00,6.24004115082459e-12,6607,2021-12-29 12:26:00,1.0,0.75
22,6623,2021-12-29 12:43:00,4.586045888462804e-12,6636,2021-12-29 12:56:00,1.0,0.75
23,6642,2021-12-29 13:02:00,3.108588126388331e-12,6661,2021-12-29 13:21:00,1.0,0.75
24,6664,2021-12-29 13:24:00,2.288412350186902e-12,6733,2021-12-29 14:33:00,0.5,1.5
25,6664,2021-12-29 13:24:00,2.288412350186902e-12,6792,2021-12-29 16:05:00,0.5,1.6224106709290222
26,6803,2021-12-29 16:16:00,2.3341417225170225e-12,7006,2021-12-29 20:25:00,1.0,0.75
27,7035,2021-12-29 20:54:00,1.5137257254417054e-12,7176,2021-12-29 23:56:00,0.5,1.5
28,7035,2021-12-29 20:54:00,1.5137257254417054e-12,7371,2021-12-30 11:01:00,0.5,1.8442262374283227
29,7406,2021-12-30 11:37:00,1.4405513494367057e-12,7558,2021-12-30 14:30:00,1.0,0.75
30,7590,2021-12-30 15:13:00,9.440325018753469e-13,8286,2022-01-01 13:19:00,1.0,0.75
31,8929,2022-01-06 06:30:00,4.374465023196303e-13,9457,2022-01-24 01:40:00,1.0,0.75
