,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,40,2021-12-27 16:40:00,9.960054741781047e-06,55,2021-12-27 16:55:00,0.5,1.5
1,40,2021-12-27 16:40:00,9.960054741781047e-06,80,2021-12-27 17:20:00,0.5,1.0477910655015512
2,86,2021-12-27 17:26:00,1.016293276422922e-05,178,2021-12-27 18:59:00,1.0,0.75
3,188,2021-12-27 19:09:00,6.753466932556685e-06,1071,2021-12-29 18:13:00,0.5,1.5
4,188,2021-12-27 19:09:00,6.753466932556685e-06,1141,2021-12-29 19:23:00,0.5,2.464332931015511
5,1187,2021-12-29 20:09:00,1.264184418886344e-05,1297,2021-12-29 22:00:00,1.0,0.75
6,1300,2021-12-29 22:03:00,9.49181131941591e-06,1398,2021-12-29 23:49:00,1.0,0.75
7,1399,2021-12-29 23:50:00,7.445825984157974e-06,1498,2021-12-30 01:34:00,0.5,1.5
8,1399,2021-12-29 23:50:00,7.445825984157974e-06,1646,2021-12-30 05:13:00,0.5,1.0270620676956026
9,1660,2021-12-30 05:45:00,7.311093025656686e-06,2397,2022-01-01 11:56:00,1.0,0.75
10,2584,2022-01-02 16:17:00,7.484424065929232e-06,3367,2022-01-05 05:38:00,1.0,0.75
11,3513,2022-01-05 17:20:00,6.134452992838344e-06,3865,2022-01-08 21:43:00,1.0,0.75
12,3921,2022-01-09 15:55:00,4.72771934645476e-06,3937,2022-01-09 19:52:00,0.5,1.5
13,3921,2022-01-09 15:55:00,4.72771934645476e-06,4102,2022-01-12 13:45:00,0.5,1.0350272504924372
14,4120,2022-01-12 18:31:00,5.046126655191658e-06,4480,2022-01-16 04:16:00,1.0,0.75
15,4538,2022-01-16 14:45:00,4.033586780501217e-06,5171,2022-01-26 16:00:00,1.0,0.75
16,5344,2022-01-28 14:19:00,3.0679506032506783e-06,5547,2022-02-02 13:17:00,1.0,0.75
