,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,155,2022-02-10 14:21:00,1.089180297250807e-06,166,2022-02-10 14:32:00,1.0,0.75
1,181,2022-02-10 14:47:00,5.283049546582207e-07,181,2022-02-10 14:47:00,1.0,0.75
2,186,2022-02-10 14:52:00,1.2921216560831503e-06,186,2022-02-10 14:52:00,1.0,0.75
3,190,2022-02-10 14:56:00,3.033771539515944e-07,190,2022-02-10 14:56:00,1.0,0.75
4,201,2022-02-10 15:07:00,6.484623487952044e-07,201,2022-02-10 15:07:00,1.0,0.75
5,202,2022-02-10 15:08:00,8.560588059067406e-07,202,2022-02-10 15:08:00,1.0,0.75
6,212,2022-02-10 15:18:00,9.035965343678566e-07,212,2022-02-10 15:18:00,1.0,0.75
7,235,2022-02-10 15:41:00,1.9853329147186605e-06,235,2022-02-10 15:41:00,1.0,0.75
8,295,2022-02-10 16:41:00,1.307791050863014e-06,295,2022-02-10 16:41:00,1.0,0.75
9,332,2022-02-10 17:18:00,5.575034299451125e-07,333,2022-02-10 17:19:00,1.0,0.75
10,354,2022-02-10 17:42:00,9.78065726616524e-07,354,2022-02-10 17:42:00,1.0,0.75
11,366,2022-02-10 17:54:00,2.1984322599220528e-06,366,2022-02-10 17:54:00,1.0,0.75
12,368,2022-02-10 17:56:00,7.037058054268811e-07,369,2022-02-10 17:57:00,1.0,0.75
13,371,2022-02-10 17:59:00,7.930903338632051e-07,376,2022-02-10 18:04:00,1.0,0.75
14,407,2022-02-10 18:35:00,8.979171080254137e-07,422,2022-02-10 18:50:00,1.0,0.75
15,430,2022-02-10 19:01:00,9.867919966094514e-07,434,2022-02-10 19:05:00,1.0,0.75
16,442,2022-02-10 19:14:00,9.093166278236e-07,450,2022-02-10 19:23:00,0.5,1.5
17,442,2022-02-10 19:14:00,9.093166278236e-07,451,2022-02-10 19:24:00,0.5,1.4661480084508378
18,480,2022-02-10 20:02:00,8.524236155663155e-07,480,2022-02-10 20:02:00,1.0,0.75
19,490,2022-02-10 20:14:00,4.157781296988248e-07,490,2022-02-10 20:14:00,1.0,0.75
20,502,2022-02-10 20:27:00,1.5405409302594554e-06,502,2022-02-10 20:27:00,1.0,0.75
21,506,2022-02-10 20:31:00,6.330621376242023e-07,514,2022-02-10 20:43:00,0.5,1.5
22,506,2022-02-10 20:31:00,6.330621376242023e-07,517,2022-02-10 20:46:00,0.5,1.381213408348409
23,525,2022-02-10 20:54:00,1.61046005902813e-06,525,2022-02-10 20:54:00,1.0,0.75
24,529,2022-02-10 20:58:00,9.877383527265689e-07,531,2022-02-10 21:00:00,1.0,0.75
25,555,2022-02-10 21:26:00,8.381548378868844e-07,555,2022-02-10 21:26:00,0.5,1.5
26,555,2022-02-10 21:26:00,8.381548378868844e-07,556,2022-02-10 21:27:00,0.5,0.979041147427097
27,571,2022-02-10 21:42:00,1.814290585228929e-06,576,2022-02-10 21:47:00,0.5,1.5
28,571,2022-02-10 21:42:00,1.814290585228929e-06,577,2022-02-10 21:48:00,0.5,1.1422930956255073
29,591,2022-02-10 22:02:00,2.3148690224346805e-06,597,2022-02-10 22:08:00,1.0,0.75
30,621,2022-02-10 22:32:00,2.4339577379416844e-06,623,2022-02-10 22:34:00,1.0,0.75
31,629,2022-02-10 22:40:00,2.736665834075653e-06,629,2022-02-10 22:40:00,1.0,0.75
32,640,2022-02-10 22:51:00,2.93772125202503e-06,640,2022-02-10 22:51:00,1.0,0.75
33,645,2022-02-10 22:57:00,2.623079681658212e-06,645,2022-02-10 22:57:00,1.0,0.75
34,671,2022-02-10 23:25:00,1.50224836018036e-06,677,2022-02-10 23:31:00,0.5,1.5
35,671,2022-02-10 23:25:00,1.50224836018036e-06,678,2022-02-10 23:32:00,0.5,1.6628973015730062
36,717,2022-02-11 00:23:00,1.730831847841139e-06,749,2022-02-11 01:08:00,1.0,0.75
37,755,2022-02-11 01:18:00,9.205225421519968e-07,761,2022-02-11 01:25:00,1.0,0.75
38,809,2022-02-11 02:52:00,1.607829747349388e-06,809,2022-02-11 02:52:00,1.0,0.75
39,993,2022-02-11 09:45:00,9.20370643309557e-07,993,2022-02-11 09:45:00,0.5,1.5
40,993,2022-02-11 09:45:00,9.20370643309557e-07,994,2022-02-11 09:46:00,0.5,1.09407309130457
41,1009,2022-02-11 10:07:00,1.403298826306607e-06,1015,2022-02-11 10:17:00,1.0,0.75
42,1022,2022-02-11 10:24:00,1.3745336836880383e-06,1022,2022-02-11 10:24:00,1.0,0.75
43,1134,2022-02-11 13:24:00,1.149549516988429e-06,1141,2022-02-11 13:37:00,1.0,0.75
44,1279,2022-02-11 17:31:00,1.022947579709491e-06,1279,2022-02-11 17:31:00,1.0,0.75
45,1817,2022-02-13 19:54:00,7.161985612955419e-07,1817,2022-02-13 19:54:00,1.0,0.75
