,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,2,2022-01-19 18:14:00,6.560549445259521e-08,157,2022-01-19 21:33:00,1.0,0.75
1,355,2022-01-20 08:26:00,3.983993580776465e-08,413,2022-01-20 09:25:00,0.5,1.5
2,355,2022-01-20 08:26:00,3.983993580776465e-08,503,2022-01-20 10:57:00,0.5,2.415505057675544
3,509,2022-01-20 11:03:00,8.649402249130634e-08,572,2022-01-20 12:06:00,0.5,1.5
4,509,2022-01-20 11:03:00,8.649402249130634e-08,710,2022-01-20 14:24:00,0.5,2.03399168010531
5,735,2022-01-20 14:49:00,1.6105320453335722e-07,826,2022-01-20 16:21:00,1.0,0.75
6,879,2022-01-20 17:17:00,1.6507203077517902e-07,935,2022-01-20 18:15:00,1.0,0.75
7,1108,2022-01-20 21:38:00,1.652126502841085e-07,1167,2022-01-20 22:37:00,0.5,1.5
8,1108,2022-01-20 21:38:00,1.652126502841085e-07,1302,2022-01-21 00:53:00,0.5,2.3925950497666904
9,1315,2022-01-21 01:06:00,3.993355640249564e-07,1519,2022-01-21 04:31:00,1.0,0.75
10,1574,2022-01-21 05:29:00,3.643705258946091e-07,1875,2022-01-21 10:55:00,1.0,0.75
11,2074,2022-01-21 14:54:00,2.514684731096623e-07,2481,2022-01-22 02:17:00,1.0,0.75
12,2698,2022-01-22 09:13:00,2.621867146218698e-07,3836,2022-01-23 19:38:00,0.5,1.5
13,2698,2022-01-22 09:13:00,2.621867146218698e-07,3980,2022-01-23 22:29:00,0.5,1.7204462196369332
14,4531,2022-01-24 15:40:00,2.911822897759635e-07,4907,2022-01-25 11:40:00,1.0,0.75
15,8254,2022-02-10 18:28:00,2.442314233909788e-07,8644,2022-02-11 17:59:00,0.5,1.5
