,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,56,2021-12-05 18:59:00,6.375461333412844e-08,59,2021-12-05 19:10:00,1.0,0.75
1,78,2021-12-05 20:25:00,9.13698524048949e-08,88,2021-12-05 20:56:00,1.0,0.75
2,91,2021-12-05 21:01:00,6.621711091819464e-08,94,2021-12-05 21:04:00,0.5,1.5
3,91,2021-12-05 21:01:00,6.621711091819464e-08,102,2021-12-05 21:13:00,0.5,2.8287424626573316
4,113,2021-12-05 21:31:00,1.823561774330705e-07,113,2021-12-05 21:31:00,0.5,1.5
5,113,2021-12-05 21:31:00,1.823561774330705e-07,122,2021-12-05 21:44:00,0.5,1.7500269217411908
6,375,2021-12-08 23:39:00,8.278114061962843e-07,413,2021-12-09 02:11:00,1.0,0.75
7,763,2021-12-14 04:59:00,3.137727119778724e-07,763,2021-12-14 04:59:00,0.5,1.5
8,763,2021-12-14 04:59:00,3.137727119778724e-07,764,2021-12-14 05:00:00,0.5,4.317291842126859
9,767,2021-12-14 05:03:00,1.4012646345267809e-06,791,2021-12-14 05:27:00,1.0,0.75
10,804,2021-12-14 05:40:00,1.6029513072060857e-06,809,2021-12-14 05:45:00,1.0,0.75
11,825,2021-12-14 06:01:00,9.6660126874921e-07,836,2021-12-14 06:12:00,1.0,0.75
12,837,2021-12-14 06:13:00,9.902295058470489e-07,837,2021-12-14 06:13:00,1.0,0.75
13,959,2021-12-14 08:38:00,1.317980408536418e-06,962,2021-12-14 08:41:00,1.0,0.75
14,1013,2021-12-14 09:39:00,7.223757499169222e-07,1035,2021-12-14 10:14:00,1.0,0.75
15,2349,2021-12-29 19:15:00,1.8768139056993688e-06,2352,2021-12-29 19:26:00,1.0,0.75
16,2689,2021-12-31 01:44:00,3.931805921789491e-06,2766,2021-12-31 08:02:00,1.0,0.75
17,3220,2022-01-04 00:04:00,5.28648311921909e-06,3473,2022-01-04 21:14:00,0.5,1.5
18,3220,2022-01-04 00:04:00,5.28648311921909e-06,3887,2022-01-06 12:57:00,0.5,1.298399852070776
19,4714,2022-01-12 03:34:00,5.3704538816827225e-06,4915,2022-01-13 14:06:00,1.0,0.75
20,4942,2022-01-13 14:33:00,5.973744048993426e-07,4952,2022-01-13 14:43:00,1.0,0.75
21,4964,2022-01-13 14:55:00,2.3499939420139746e-07,4965,2022-01-13 14:56:00,1.0,0.75
22,4970,2022-01-13 15:01:00,2.1779116773863985e-07,4984,2022-01-13 15:15:00,0.5,1.5
23,4970,2022-01-13 15:01:00,2.1779116773863985e-07,4993,2022-01-13 15:24:00,0.5,2.1220546076656905
24,5003,2022-01-13 15:34:00,4.806313350811033e-07,5013,2022-01-13 15:44:00,1.0,0.75
25,5021,2022-01-13 15:52:00,3.8688525961268725e-07,5098,2022-01-13 17:15:00,1.0,0.75
26,5108,2022-01-13 17:25:00,2.435403380997094e-07,5144,2022-01-13 18:04:00,0.5,1.5
27,5108,2022-01-13 17:25:00,2.435403380997094e-07,5312,2022-01-13 22:25:00,0.5,1.1569574468608141
28,5319,2022-01-13 22:34:00,2.0176915907336238e-07,5377,2022-01-13 23:54:00,0.5,1.5
29,5319,2022-01-13 22:34:00,2.0176915907336238e-07,5409,2022-01-14 00:45:00,0.5,1.120149068012004
30,5437,2022-01-14 01:24:00,1.3935780312798493e-07,5476,2022-01-14 02:09:00,0.5,1.5
31,5437,2022-01-14 01:24:00,1.3935780312798493e-07,5528,2022-01-14 03:50:00,0.5,2.0048531063614403
32,5643,2022-01-14 09:02:00,2.408134024227035e-07,5707,2022-01-14 12:09:00,1.0,0.75
33,6434,2022-01-19 11:33:00,8.442562455992785e-08,6464,2022-01-20 04:33:00,1.0,0.75
