,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,3,2021-11-14 10:03:00,4.741002509049511e-10,37,2021-11-14 16:31:00,0.5,1.5
1,3,2021-11-14 10:03:00,4.741002509049511e-10,115,2021-11-17 09:11:00,0.5,1.7584293667363344
2,462,2021-12-05 04:48:00,1.4710110560252671e-09,625,2021-12-09 13:47:00,1.0,0.75
3,627,2021-12-09 13:51:00,1.1061998511204568e-09,833,2021-12-15 05:42:00,0.5,1.5
4,627,2021-12-09 13:51:00,1.1061998511204568e-09,933,2021-12-20 14:13:00,0.5,1.8323660769010812
5,1147,2021-12-31 04:49:00,2.913507232613375e-09,1147,2021-12-31 04:49:00,0.5,1.5
6,1147,2021-12-31 04:49:00,2.913507232613375e-09,1148,2021-12-31 04:50:00,0.5,1.2581473939392338
7,1158,2021-12-31 05:00:00,3.945991193489249e-09,1167,2021-12-31 05:09:00,0.5,1.5
8,1158,2021-12-31 05:00:00,3.945991193489249e-09,1236,2021-12-31 06:18:00,0.5,2.7739842482189805
9,1251,2021-12-31 06:33:00,8.201344423475489e-09,1308,2021-12-31 07:30:00,0.5,1.5
10,1251,2021-12-31 06:33:00,8.201344423475489e-09,1354,2021-12-31 08:16:00,0.5,1.9014546046168668
11,1368,2021-12-31 08:30:00,1.4884564687852238e-08,1458,2021-12-31 10:00:00,0.5,1.5
12,1368,2021-12-31 08:30:00,1.4884564687852238e-08,1520,2021-12-31 11:02:00,0.5,1.5346026190808058
13,1523,2021-12-31 11:05:00,2.4190321637239612e-08,1572,2021-12-31 11:54:00,0.5,1.5
14,1523,2021-12-31 11:05:00,2.4190321637239612e-08,1644,2021-12-31 13:06:00,0.5,1.0574174955906177
15,1656,2021-12-31 13:18:00,2.3515316199737457e-08,1789,2021-12-31 15:31:00,1.0,0.75
