,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,2,2021-12-18 19:16:00,1.7653116388598483e-08,2,2021-12-18 19:16:00,0.5,1.5
1,2,2021-12-18 19:16:00,1.7653116388598483e-08,7,2021-12-18 19:21:00,0.5,4.1194519904874864
2,41,2021-12-18 19:56:00,7.829021918299262e-08,41,2021-12-18 19:56:00,0.5,1.5
3,41,2021-12-18 19:56:00,7.829021918299262e-08,70,2021-12-18 20:25:00,0.5,2.5850744124811134
4,98,2021-12-18 20:56:00,1.999039937720291e-07,131,2021-12-18 21:37:00,0.5,1.5
5,98,2021-12-18 20:56:00,1.999039937720291e-07,150,2021-12-18 21:56:00,0.5,2.882662686447628
6,155,2021-12-18 22:01:00,6.410028057317812e-07,215,2021-12-18 23:10:00,0.5,1.5
7,155,2021-12-18 22:01:00,6.410028057317812e-07,244,2021-12-18 23:39:00,0.5,2.1146339909178593
8,251,2021-12-18 23:46:00,1.4853591128902074e-06,294,2021-12-19 00:34:00,1.0,0.75
9,296,2021-12-19 00:36:00,9.483315734656612e-07,298,2021-12-19 00:38:00,0.5,1.5
10,296,2021-12-19 00:36:00,9.483315734656612e-07,336,2021-12-19 01:25:00,0.5,1.5146333306630309
11,412,2021-12-19 03:01:00,7.98976295194829e-07,415,2021-12-19 03:04:00,0.5,1.5
12,412,2021-12-19 03:01:00,7.98976295194829e-07,497,2021-12-19 06:31:00,0.5,1.0235125927959197
13,670,2021-12-19 14:26:00,1.063852857845361e-06,763,2021-12-19 17:29:00,1.0,0.75
14,1147,2021-12-21 00:54:00,5.693755484611313e-07,1286,2021-12-21 16:04:00,0.5,1.5
15,1147,2021-12-21 00:54:00,5.693755484611313e-07,1338,2021-12-21 17:10:00,0.5,2.3294958971125346
16,1341,2021-12-21 17:13:00,1.2796423555311922e-06,1352,2021-12-21 17:24:00,1.0,0.75
17,1362,2021-12-21 17:34:00,9.423311297261218e-07,1461,2021-12-21 19:26:00,0.5,1.5
18,1362,2021-12-21 17:34:00,9.423311297261218e-07,1517,2021-12-21 20:36:00,0.5,1.0048861082961178
19,2520,2022-01-08 19:18:00,2.056005553601708e-07,2536,2022-01-08 19:39:00,0.5,1.5
20,2520,2022-01-08 19:18:00,2.056005553601708e-07,2600,2022-01-08 21:22:00,0.5,1.1089656591431862
