,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,1955,2022-01-17 23:17:00,1.9595212114488767e-10,2063,2022-01-18 01:09:00,1.0,0.75
1,2085,2022-01-18 01:31:00,1.2109614236635192e-10,2091,2022-01-18 01:37:00,0.5,1.5
2,2085,2022-01-18 01:31:00,1.2109614236635192e-10,2095,2022-01-18 01:41:00,0.5,1.4369161486070223
3,2100,2022-01-18 01:46:00,1.7323525572998839e-10,2102,2022-01-18 01:48:00,1.0,0.75
4,2113,2022-01-18 01:59:00,1.6249044081349723e-10,2330,2022-01-18 11:11:00,0.5,1.5
5,2113,2022-01-18 01:59:00,1.6249044081349723e-10,2365,2022-01-18 12:02:00,0.5,1.7439994059931385
6,2397,2022-01-18 12:47:00,2.78583424941215e-10,2579,2022-01-18 16:23:00,0.5,1.5
7,2397,2022-01-18 12:47:00,2.78583424941215e-10,2599,2022-01-18 16:43:00,0.5,1.7433419002579935
8,2616,2022-01-18 17:01:00,4.388973602132114e-10,2766,2022-01-18 19:46:00,0.5,1.5
9,2616,2022-01-18 17:01:00,4.388973602132114e-10,2936,2022-01-18 22:37:00,0.5,2.2556249175109127
10,2955,2022-01-18 22:56:00,1.089060972448332e-09,3098,2022-01-19 01:21:00,0.5,1.5
11,2955,2022-01-18 22:56:00,1.089060972448332e-09,3132,2022-01-19 01:55:00,0.5,1.7553576539430633
12,3149,2022-01-19 02:12:00,1.8293751532122166e-09,3155,2022-01-19 02:18:00,1.0,0.75
13,3179,2022-01-19 02:42:00,1.601093098087914e-09,3269,2022-01-19 04:12:00,1.0,0.75
14,3270,2022-01-19 04:13:00,1.4467398329189802e-09,3270,2022-01-19 04:13:00,1.0,0.75
15,3286,2022-01-19 04:29:00,1.3696323574426176e-09,3332,2022-01-19 05:15:00,1.0,0.75
16,3333,2022-01-19 05:16:00,1.1880811436159107e-09,3508,2022-01-19 08:45:00,1.0,0.75
17,3515,2022-01-19 08:52:00,8.530627013657333e-10,3550,2022-01-19 09:27:00,1.0,0.75
18,3564,2022-01-19 09:41:00,5.444368237822771e-10,3570,2022-01-19 09:47:00,0.5,1.5
19,3564,2022-01-19 09:41:00,5.444368237822771e-10,3634,2022-01-19 10:52:00,0.5,2.6405759622120524
20,3648,2022-01-19 11:06:00,1.4391961790532683e-09,3651,2022-01-19 11:09:00,1.0,0.75
21,3660,2022-01-19 11:18:00,1.3086257769189976e-09,3700,2022-01-19 11:59:00,1.0,0.75
22,3704,2022-01-19 12:03:00,9.077074009071392e-10,3878,2022-01-19 15:04:00,1.0,0.75
23,3902,2022-01-19 15:28:00,8.236104966747936e-10,4083,2022-01-19 18:40:00,1.0,0.75
24,4107,2022-01-19 19:04:00,1.0347520216818802e-09,4234,2022-01-19 21:21:00,1.0,0.75
25,4237,2022-01-19 21:24:00,3.7585996159326537e-10,4238,2022-01-19 21:25:00,0.5,1.5
26,4237,2022-01-19 21:24:00,3.7585996159326537e-10,4242,2022-01-19 21:29:00,0.5,2.1015486160601276
27,4247,2022-01-19 21:34:00,9.153767255744851e-10,4361,2022-01-19 23:31:00,1.0,0.75
28,4365,2022-01-19 23:35:00,7.336722154185502e-10,4433,2022-01-20 00:43:00,1.0,0.75
29,4454,2022-01-20 01:04:00,4.6014259724749476e-10,4502,2022-01-20 01:52:00,0.5,1.5
