,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,83,2022-01-14 13:00:00,0.0015587519947456,83,2022-01-14 13:00:00,1.0,0.75
1,101,2022-01-14 13:18:00,1.3474453039715334e-06,101,2022-01-14 13:18:00,1.0,0.75
2,128,2022-01-14 13:45:00,3.525565189681209e-06,141,2022-01-14 13:58:00,1.0,0.75
3,155,2022-01-14 14:12:00,2.6463711984417854e-06,250,2022-01-14 16:30:00,0.5,1.5
4,155,2022-01-14 14:12:00,2.6463711984417854e-06,443,2022-01-15 02:13:00,0.5,3.2962505875513077
5,452,2022-01-15 02:23:00,9.229081604868709e-06,621,2022-01-15 05:55:00,0.5,1.5
6,452,2022-01-15 02:23:00,9.229081604868709e-06,647,2022-01-15 06:23:00,0.5,1.50589538460367
7,1104,2022-01-16 04:08:00,5.238809458150298e-06,1105,2022-01-16 04:09:00,1.0,0.75
8,1108,2022-01-16 04:12:00,3.1931029944084787e-06,1116,2022-01-16 04:20:00,0.5,1.5
9,1108,2022-01-16 04:12:00,3.1931029944084787e-06,1189,2022-01-16 06:54:00,0.5,1.7597978326558616
10,2146,2022-01-21 03:00:00,7.5077436906384596e-06,2247,2022-01-21 05:10:00,0.5,1.5
11,2146,2022-01-21 03:00:00,7.5077436906384596e-06,2437,2022-01-22 04:02:00,0.5,1.0049562904157705
12,3893,2022-02-08 06:21:00,2.011943420919145e-05,4883,2022-02-10 05:07:00,0.5,1.5
13,3893,2022-02-08 06:21:00,2.011943420919145e-05,5855,2022-02-13 01:48:00,0.5,1.0224373733766345
