,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,2,2021-12-20 15:23:00,2.125253541841632e-06,28,2021-12-20 19:59:00,0.5,1.5
1,2,2021-12-20 15:23:00,2.125253541841632e-06,33,2021-12-20 21:06:00,0.5,1.8428938864252846
2,82,2021-12-21 19:43:00,1.906578064609863e-05,126,2021-12-22 00:13:00,0.5,1.5
3,82,2021-12-21 19:43:00,1.906578064609863e-05,130,2021-12-22 00:18:00,0.5,1.5084980657240472
4,148,2021-12-22 18:42:00,3.41582394192321e-05,159,2021-12-22 19:02:00,0.5,1.5
5,148,2021-12-22 18:42:00,3.41582394192321e-05,195,2021-12-23 00:09:00,0.5,2.488870944690573
6,257,2021-12-23 06:11:00,8.447358855698641e-05,345,2021-12-23 08:01:00,1.0,0.75
7,351,2021-12-23 08:07:00,4.624668596687094e-05,359,2021-12-23 08:15:00,1.0,0.75
8,369,2021-12-23 08:25:00,3.289380233181047e-05,375,2021-12-23 08:31:00,1.0,0.75
9,387,2021-12-23 08:44:00,2.229742822808398e-05,406,2021-12-23 09:03:00,1.0,0.75
10,410,2021-12-23 09:07:00,1.6864327305790015e-05,414,2021-12-23 09:11:00,1.0,0.75
11,420,2021-12-23 09:17:00,7.637906970535254e-06,429,2021-12-23 09:26:00,1.0,0.75
12,430,2021-12-23 09:27:00,6.940453916473601e-06,430,2021-12-23 09:27:00,1.0,0.75
13,432,2021-12-23 09:29:00,5.484487028161901e-06,433,2021-12-23 09:30:00,1.0,0.75
14,437,2021-12-23 09:35:00,4.601079425864766e-06,441,2021-12-23 09:39:00,0.5,1.5
15,437,2021-12-23 09:35:00,4.601079425864766e-06,450,2021-12-23 09:48:00,0.5,2.8089667385727632
16,454,2021-12-23 09:52:00,1.132071354009382e-05,481,2021-12-23 10:19:00,1.0,0.75
17,485,2021-12-23 10:23:00,9.386217487433297e-06,496,2021-12-23 10:34:00,1.0,0.75
18,508,2021-12-23 10:46:00,6.63623004150867e-06,532,2021-12-23 11:10:00,0.5,1.5
19,508,2021-12-23 10:46:00,6.63623004150867e-06,667,2021-12-23 13:42:00,0.5,1.0486252661861408
20,680,2021-12-23 13:55:00,6.559540521407647e-06,754,2021-12-23 15:34:00,1.0,0.75
21,758,2021-12-23 15:38:00,4.13984333191872e-06,758,2021-12-23 15:38:00,1.0,0.75
22,784,2021-12-23 16:04:00,2.170721964737756e-06,801,2021-12-23 16:21:00,1.0,0.75
23,806,2021-12-23 16:26:00,1.989042293553827e-06,809,2021-12-23 16:29:00,1.0,0.75
24,814,2021-12-23 16:34:00,1.3289069580362373e-06,814,2021-12-23 16:34:00,0.5,1.5
25,814,2021-12-23 16:34:00,1.3289069580362373e-06,817,2021-12-23 16:37:00,0.5,1.6053432783473822
26,843,2021-12-23 17:03:00,2.755518924587912e-06,847,2021-12-23 17:07:00,1.0,0.75
27,862,2021-12-23 17:22:00,1.54897385143443e-06,883,2021-12-23 17:43:00,1.0,0.75
28,884,2021-12-23 17:44:00,1.4732547652651737e-06,903,2021-12-23 18:03:00,1.0,0.75
29,908,2021-12-23 18:08:00,9.491649930895704e-07,920,2021-12-23 18:20:00,1.0,0.75
30,944,2021-12-23 18:44:00,4.916726587852831e-07,946,2021-12-23 18:46:00,0.5,1.5
31,944,2021-12-23 18:44:00,4.916726587852831e-07,959,2021-12-23 19:00:00,0.5,1.288258532475128
32,965,2021-12-23 19:06:00,4.2134849151600054e-07,966,2021-12-23 19:07:00,1.0,0.75
33,970,2021-12-23 19:11:00,3.7247637095348114e-07,970,2021-12-23 19:11:00,1.0,0.75
34,991,2021-12-23 19:32:00,3.482460929467348e-07,1013,2021-12-23 19:54:00,0.5,1.5
35,991,2021-12-23 19:32:00,3.482460929467348e-07,1023,2021-12-23 20:04:00,0.5,1.8049213377349143
36,1096,2021-12-23 21:21:00,5.926847468730708e-07,1128,2021-12-23 22:02:00,1.0,0.75
37,1132,2021-12-23 22:06:00,5.167607952283412e-07,1136,2021-12-23 22:10:00,1.0,0.75
38,1143,2021-12-23 22:17:00,4.077419156000717e-07,1143,2021-12-23 22:17:00,1.0,0.75
39,1150,2021-12-23 22:24:00,2.741697126571944e-07,1152,2021-12-23 22:26:00,1.0,0.75
40,1170,2021-12-23 22:44:00,4.028997302311098e-07,1170,2021-12-23 22:44:00,1.0,0.75
41,1193,2021-12-23 23:07:00,2.689115427861958e-07,1208,2021-12-23 23:22:00,1.0,0.75
42,1214,2021-12-23 23:28:00,2.004745390340577e-07,1215,2021-12-23 23:29:00,1.0,0.75
43,1218,2021-12-23 23:32:00,1.7317667372214466e-07,1218,2021-12-23 23:32:00,0.5,1.5
44,1218,2021-12-23 23:32:00,1.7317667372214466e-07,1242,2021-12-23 23:56:00,0.5,1.2596358306248565
45,1250,2021-12-24 00:04:00,2.0400039328888887e-07,1254,2021-12-24 00:08:00,1.0,0.75
46,1255,2021-12-24 00:09:00,1.9976372845127055e-07,1269,2021-12-24 00:26:00,0.5,1.5
47,1255,2021-12-24 00:09:00,1.9976372845127055e-07,1270,2021-12-24 00:27:00,0.5,0.9866775913210213
48,1280,2021-12-24 00:37:00,2.444831289913373e-07,1283,2021-12-24 00:40:00,1.0,0.75
49,1291,2021-12-24 00:48:00,2.230928997655297e-07,1294,2021-12-24 00:51:00,1.0,0.75
50,1298,2021-12-24 00:55:00,2.1385533653819537e-07,1298,2021-12-24 00:55:00,1.0,0.75
51,1353,2021-12-24 01:50:00,1.676491838438625e-07,1369,2021-12-24 02:06:00,0.5,1.5
52,1353,2021-12-24 01:50:00,1.676491838438625e-07,1370,2021-12-24 02:08:00,0.5,1.0370807608943053
53,1376,2021-12-24 02:14:00,2.621514370866763e-07,1376,2021-12-24 02:14:00,1.0,0.75
54,1387,2021-12-24 02:26:00,3.361633195776825e-07,1400,2021-12-24 02:39:00,0.5,1.5
55,1387,2021-12-24 02:26:00,3.361633195776825e-07,1401,2021-12-24 02:40:00,0.5,1.3474951987856518
56,1404,2021-12-24 02:43:00,4.83969675918841e-07,1404,2021-12-24 02:43:00,0.5,1.5
57,1404,2021-12-24 02:43:00,4.83969675918841e-07,1405,2021-12-24 02:44:00,0.5,1.3435545421392237
58,1419,2021-12-24 02:59:00,4.6945555583721805e-07,1421,2021-12-24 03:02:00,0.5,1.5
59,1419,2021-12-24 02:59:00,4.6945555583721805e-07,1422,2021-12-24 03:03:00,0.5,0.917805437781257
60,1428,2021-12-24 03:09:00,4.578340274866599e-07,1446,2021-12-24 03:30:00,0.5,1.5
61,1428,2021-12-24 03:09:00,4.578340274866599e-07,1449,2021-12-24 03:33:00,0.5,1.0156115698176083
62,1451,2021-12-24 03:36:00,4.3823308994831364e-07,1474,2021-12-24 04:04:00,1.0,0.75
63,1487,2021-12-24 04:17:00,4.3739751110608125e-07,1487,2021-12-24 04:17:00,1.0,0.75
64,1506,2021-12-24 04:38:00,3.158350591810952e-07,1511,2021-12-24 04:43:00,1.0,0.75
65,1530,2021-12-24 05:14:00,2.9196910337481977e-07,1572,2021-12-24 06:14:00,0.5,1.5
66,1530,2021-12-24 05:14:00,2.9196910337481977e-07,1602,2021-12-24 06:52:00,0.5,1.4588641635288664
67,1635,2021-12-24 07:27:00,2.81519701519984e-07,1660,2021-12-24 07:57:00,1.0,0.75
68,1773,2021-12-24 10:57:00,2.670199278387467e-07,1778,2021-12-24 11:02:00,0.5,1.5
69,1773,2021-12-24 10:57:00,2.670199278387467e-07,1800,2021-12-24 11:39:00,0.5,1.1556098098038527
70,1806,2021-12-24 11:45:00,2.4159551020459605e-07,1828,2021-12-24 12:22:00,0.5,1.5
71,1806,2021-12-24 11:45:00,2.4159551020459605e-07,1832,2021-12-24 12:26:00,0.5,1.1089615741206325
72,1842,2021-12-24 12:37:00,5.467250395976455e-07,1842,2021-12-24 12:37:00,1.0,0.75
73,1915,2021-12-24 14:28:00,2.668694771003954e-07,1915,2021-12-24 14:28:00,1.0,0.75
74,1949,2021-12-24 15:13:00,2.339167245438954e-07,2030,2021-12-24 17:48:00,1.0,0.75
75,2040,2021-12-24 18:02:00,1.7815502229115513e-07,2107,2021-12-24 19:55:00,0.5,1.5
76,2040,2021-12-24 18:02:00,1.7815502229115513e-07,2108,2021-12-24 20:01:00,0.5,1.3058403989322698
77,2560,2021-12-25 20:26:00,1.1134068865639903e-06,2560,2021-12-25 20:26:00,1.0,0.75
78,2569,2021-12-25 20:36:00,4.015309921838309e-07,2569,2021-12-25 20:36:00,1.0,0.75
79,2583,2021-12-25 20:52:00,1.319022971360328e-07,2583,2021-12-25 20:52:00,1.0,0.75
80,2585,2021-12-25 20:55:00,3.260492380248791e-07,2585,2021-12-25 20:55:00,1.0,0.75
81,2768,2021-12-26 07:27:00,5.53551512514319e-06,2768,2021-12-26 07:27:00,1.0,0.75
82,3138,2021-12-27 06:52:00,1.3919274181987393e-07,3150,2021-12-27 07:38:00,0.5,1.5
83,3138,2021-12-27 06:52:00,1.3919274181987393e-07,3163,2021-12-27 08:37:00,0.5,0.8223711895962538
84,3235,2021-12-27 13:39:00,4.20989026362407e-07,3235,2021-12-27 13:39:00,1.0,0.75
85,3404,2021-12-28 01:22:00,2.2997957180620334e-07,3404,2021-12-28 01:22:00,1.0,0.75
86,3422,2021-12-28 02:06:00,1.1231090411037205e-07,3422,2021-12-28 02:06:00,0.5,1.5
87,3422,2021-12-28 02:06:00,1.1231090411037205e-07,3424,2021-12-28 02:23:00,0.5,1.5099541804272396
88,3865,2022-01-01 23:50:00,9.192446208262505e-08,3865,2022-01-01 23:50:00,1.0,0.75
