,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,26,2021-12-20 15:31:00,6.507351801198468e-10,90,2021-12-20 17:49:00,0.5,1.5
1,26,2021-12-20 15:31:00,6.507351801198468e-10,109,2021-12-20 18:16:00,0.5,5.113794634041903
2,114,2021-12-20 18:21:00,2.9406908277611694e-09,119,2021-12-20 18:26:00,1.0,0.75
3,162,2021-12-20 19:10:00,1.7330739192148995e-09,280,2021-12-20 22:23:00,1.0,0.75
4,583,2021-12-22 00:30:00,3.200864177158628e-09,604,2021-12-22 02:22:00,1.0,0.75
5,897,2021-12-23 23:39:00,1.4128113540653636e-09,897,2021-12-23 23:39:00,0.5,1.5
6,897,2021-12-23 23:39:00,1.4128113540653636e-09,920,2021-12-24 00:40:00,0.5,2.5578654092432447
7,1335,2021-12-30 03:18:00,2.1115339364312552e-09,1335,2021-12-30 03:18:00,0.5,1.5
8,1335,2021-12-30 03:18:00,2.1115339364312552e-09,1368,2021-12-30 03:56:00,0.5,2.5629027258251407
9,1412,2021-12-30 05:36:00,4.095433046567482e-09,1422,2021-12-30 06:22:00,1.0,0.75
10,1457,2021-12-30 08:56:00,3.333885189403758e-09,1474,2021-12-30 09:18:00,0.5,1.5
11,1457,2021-12-30 08:56:00,3.333885189403758e-09,1658,2021-12-30 18:58:00,0.5,1.0263172788494002
12,1673,2021-12-30 19:25:00,1.9526997178690633e-09,1871,2021-12-31 18:18:00,1.0,0.75
13,2072,2022-01-06 02:26:00,5.239490427874415e-10,2141,2022-01-16 18:23:00,1.0,0.75
