,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,5,2022-02-06 03:46:00,1.9741535103299102e-14,26,2022-02-06 06:06:00,0.5,1.5
1,5,2022-02-06 03:46:00,1.9741535103299102e-14,52,2022-02-06 08:36:00,0.5,4.519340274816378
2,85,2022-02-06 14:46:00,1.3498147735683953e-13,89,2022-02-06 14:50:00,0.5,1.5
3,85,2022-02-06 14:46:00,1.3498147735683953e-13,130,2022-02-06 15:38:00,0.5,3.91643619540004
4,919,2022-02-07 23:02:00,2.818881821957233e-12,1037,2022-02-08 01:54:00,0.5,1.5
5,919,2022-02-07 23:02:00,2.818881821957233e-12,1168,2022-02-08 04:14:00,0.5,1.8594068181784245
6,1175,2022-02-08 04:21:00,3.13342818360312e-12,1379,2022-02-08 08:12:00,1.0,0.75
7,1432,2022-02-08 09:17:00,9.958345060912954e-13,1443,2022-02-08 09:29:00,0.5,1.5
8,1432,2022-02-08 09:17:00,9.958345060912954e-13,1477,2022-02-08 10:07:00,0.5,1.5720643278657063
9,1634,2022-02-08 13:25:00,2.369220044544176e-12,1829,2022-02-08 18:34:00,1.0,0.75
10,2857,2022-02-10 21:04:00,2.0189492695671577e-12,2875,2022-02-10 21:29:00,1.0,0.75
