,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,24,2021-12-16 17:24:00,8.350263305470694e-08,76,2021-12-16 18:16:00,1.0,0.75
1,113,2021-12-16 18:53:00,9.889236765211393e-08,174,2021-12-16 19:54:00,0.5,1.5
2,113,2021-12-16 18:53:00,9.889236765211393e-08,263,2021-12-16 21:23:00,0.5,2.635349465055196
3,275,2021-12-16 21:35:00,2.7582531894671333e-07,314,2021-12-16 22:14:00,0.5,1.5
4,275,2021-12-16 21:35:00,2.7582531894671333e-07,343,2021-12-16 22:43:00,0.5,1.0930517081092892
5,347,2021-12-16 22:47:00,2.761798481965804e-07,384,2021-12-16 23:24:00,1.0,0.75
6,401,2021-12-16 23:41:00,2.876073274193419e-07,456,2021-12-17 00:38:00,1.0,0.75
7,493,2021-12-17 01:16:00,1.1537078083234785e-07,534,2021-12-17 01:59:00,0.5,1.5
8,493,2021-12-17 01:16:00,1.1537078083234785e-07,711,2021-12-17 05:26:00,0.5,1.592164050925416
9,825,2021-12-17 08:01:00,2.0761759519805413e-07,1049,2021-12-17 12:25:00,0.5,1.5
10,825,2021-12-17 08:01:00,2.0761759519805413e-07,1323,2021-12-17 17:49:00,0.5,1.0459887052194103
11,1367,2021-12-17 18:38:00,1.851695848601345e-07,1475,2021-12-17 20:50:00,1.0,0.75
12,1481,2021-12-17 20:57:00,1.383319659902494e-07,1622,2021-12-18 00:04:00,1.0,0.75
13,2606,2021-12-19 18:54:00,5.1055181010156326e-08,2616,2021-12-19 19:09:00,1.0,0.75
14,2752,2021-12-19 22:12:00,5.4568213732180125e-08,2965,2021-12-20 06:56:00,1.0,0.75
