,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,49,2021-11-14 14:30:00,5.005865157450899e-12,117,2021-11-17 15:24:00,1.0,0.75
1,405,2021-12-27 06:07:00,6.330068545863727e-12,405,2021-12-27 06:07:00,0.5,1.5
2,405,2021-12-27 06:07:00,6.330068545863727e-12,407,2021-12-27 06:09:00,0.5,4.151021327763022
3,419,2021-12-27 06:21:00,3.002186152332223e-11,419,2021-12-27 06:21:00,1.0,0.75
4,428,2021-12-27 06:30:00,2.1992694401237337e-11,444,2021-12-27 06:46:00,0.5,1.5
5,428,2021-12-27 06:30:00,2.1992694401237337e-11,452,2021-12-27 06:54:00,0.5,1.8597684006013995
6,454,2021-12-27 06:56:00,3.3253272698649725e-11,460,2021-12-27 07:02:00,0.5,1.5
7,454,2021-12-27 06:56:00,3.3253272698649725e-11,513,2021-12-27 07:55:00,0.5,1.7195569884616195
8,520,2021-12-27 08:02:00,6.341931263436298e-11,544,2021-12-27 08:26:00,0.5,1.5
9,520,2021-12-27 08:02:00,6.341931263436298e-11,564,2021-12-27 08:46:00,0.5,1.7171639990222134
10,570,2021-12-27 08:52:00,1.2483456052181936e-10,579,2021-12-27 09:01:00,0.5,1.5
11,570,2021-12-27 08:52:00,1.2483456052181936e-10,615,2021-12-27 09:37:00,0.5,2.2091855043768924
12,648,2021-12-27 10:10:00,1.524815173671056e-10,654,2021-12-27 10:16:00,1.0,0.75
13,667,2021-12-27 10:29:00,1.1221126407899866e-10,683,2021-12-27 10:45:00,1.0,0.75
14,689,2021-12-27 10:51:00,8.214407545655888e-11,738,2021-12-27 11:41:00,0.5,1.5
15,689,2021-12-27 10:51:00,8.214407545655888e-11,767,2021-12-27 12:10:00,0.5,1.6216427978163113
16,793,2021-12-27 12:37:00,9.752065134189202e-11,944,2021-12-27 15:12:00,0.5,1.5
17,793,2021-12-27 12:37:00,9.752065134189202e-11,1030,2021-12-27 16:39:00,0.5,1.9073994956839941
18,1038,2021-12-27 16:47:00,1.368770408392447e-10,1136,2021-12-27 18:26:00,1.0,0.75
