,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,1277,2021-11-18 02:07:00,0.0014680699279438,1277,2021-11-18 02:07:00,1.0,0.75
1,1291,2021-11-18 02:21:00,0.0019866426509282,1291,2021-11-18 02:21:00,0.5,1.5
2,1291,2021-11-18 02:21:00,0.0019866426509282,1292,2021-11-18 02:22:00,0.5,0.9311707035035652
3,1349,2021-11-18 03:56:00,0.0002262579816628,1349,2021-11-18 03:56:00,1.0,0.75
4,1394,2021-11-18 07:39:00,0.0009472208056219,1394,2021-11-18 07:39:00,1.0,0.75
5,1398,2021-11-18 08:01:00,0.0017288476220225,1400,2021-11-18 08:04:00,1.0,0.75
6,2890,2021-12-10 10:36:00,0.0026531046330543,2894,2021-12-10 10:47:00,1.0,0.75
7,4464,2021-12-21 08:48:00,0.0088482707537119,4464,2021-12-21 08:48:00,1.0,0.75
8,5675,2022-03-02 14:26:00,0.0017119031040496,5675,2022-03-02 14:26:00,0.5,1.5
9,5675,2022-03-02 14:26:00,0.0017119031040496,5678,2022-03-02 14:29:00,0.5,1.694992697916639
10,5685,2022-03-02 14:38:00,0.0014981008120386,5685,2022-03-02 14:38:00,1.0,0.75
11,5698,2022-03-02 14:52:00,0.0009149120432357,5703,2022-03-02 14:57:00,0.5,1.5
12,5698,2022-03-02 14:52:00,0.0009149120432357,5705,2022-03-02 14:59:00,0.5,1.1050645523221474
13,5723,2022-03-02 15:17:00,0.0014078143363323,5743,2022-03-02 15:37:00,0.5,1.5
14,5723,2022-03-02 15:17:00,0.0014078143363323,5745,2022-03-02 15:39:00,0.5,1.1746067579328006
15,5764,2022-03-02 16:04:00,0.0018430931651797,5764,2022-03-02 16:04:00,1.0,0.75
16,5768,2022-03-02 16:08:00,0.0017089390100984,5812,2022-03-02 16:54:00,0.5,1.5
17,5768,2022-03-02 16:08:00,0.0017089390100984,5819,2022-03-02 17:01:00,0.5,1.1801851713191156
18,5820,2022-03-02 17:02:00,0.0020221696192109,5820,2022-03-02 17:02:00,1.0,0.75
19,5837,2022-03-02 17:24:00,0.0022141280278716,5843,2022-03-02 17:32:00,1.0,0.75
20,5849,2022-03-02 17:38:00,0.0018179618087095,5901,2022-03-02 18:43:00,1.0,0.75
21,5911,2022-03-02 18:54:00,0.0021018849435329,5911,2022-03-02 18:54:00,1.0,0.75
22,5944,2022-03-02 19:34:00,0.0023108104743169,5951,2022-03-02 19:44:00,1.0,0.75
