,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,15,2022-02-18 14:48:00,7.154701285141299e-15,19,2022-02-18 14:52:00,0.5,1.5
1,15,2022-02-18 14:48:00,7.154701285141299e-15,41,2022-02-18 15:14:00,0.5,3.109781889941494
2,185,2022-02-18 17:38:00,1.4253933405443509e-13,195,2022-02-18 17:48:00,1.0,0.75
3,214,2022-02-18 18:07:00,1.5762400025863533e-13,284,2022-02-18 19:17:00,1.0,0.75
4,298,2022-02-18 19:31:00,1.0334771181531768e-13,335,2022-02-18 20:08:00,0.5,1.5
5,298,2022-02-18 19:31:00,1.0334771181531768e-13,452,2022-02-18 22:05:00,0.5,1.8479834720401191
6,458,2022-02-18 22:11:00,1.763205225331422e-13,588,2022-02-19 00:21:00,1.0,0.75
7,602,2022-02-19 00:35:00,1.561957932394906e-13,782,2022-02-19 03:35:00,1.0,0.75
8,806,2022-02-19 03:59:00,1.4528512722001876e-13,879,2022-02-19 05:12:00,0.5,1.5
9,806,2022-02-19 03:59:00,1.4528512722001876e-13,1114,2022-02-19 09:07:00,0.5,2.4040657548551554
10,1137,2022-02-19 09:30:00,3.9298305633694434e-13,1208,2022-02-19 10:41:00,1.0,0.75
11,1211,2022-02-19 10:44:00,2.9110865713711283e-13,1397,2022-02-19 13:50:00,1.0,0.75
12,1424,2022-02-19 14:17:00,2.7606810447956416e-13,1477,2022-02-19 15:10:00,1.0,0.75
13,1495,2022-02-19 15:28:00,2.2170415974861905e-13,1727,2022-02-19 19:20:00,0.5,1.5
14,1495,2022-02-19 15:28:00,2.2170415974861905e-13,1747,2022-02-19 19:40:00,0.5,1.6423952187131152
15,1748,2022-02-19 19:41:00,3.654490916820576e-13,2378,2022-02-20 06:15:00,1.0,0.75
16,2388,2022-02-20 06:25:00,2.9843407429448133e-13,2568,2022-02-20 09:25:00,1.0,0.75
