,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,2,2021-12-13 19:01:00,3.703728930918084e-09,2,2021-12-13 19:01:00,1.0,0.75
1,20,2021-12-13 19:19:00,6.8243077524933425e-09,42,2021-12-13 19:41:00,1.0,0.75
2,62,2021-12-13 20:01:00,4.8499473252770895e-09,98,2021-12-13 20:37:00,1.0,0.75
3,101,2021-12-13 20:40:00,3.379230033300112e-09,167,2021-12-13 21:59:00,0.5,1.5
4,101,2021-12-13 20:40:00,3.379230033300112e-09,262,2021-12-14 00:06:00,0.5,1.0043136678552733
5,276,2021-12-14 00:20:00,3.2845776834366412e-09,317,2021-12-14 01:21:00,1.0,0.75
6,324,2021-12-14 01:30:00,2.341874374967707e-09,464,2021-12-14 04:47:00,0.5,1.5
7,324,2021-12-14 01:30:00,2.341874374967707e-09,485,2021-12-14 05:14:00,0.5,1.8561150254797356
8,488,2021-12-14 05:18:00,4.138945124396026e-09,556,2021-12-14 07:45:00,1.0,0.75
9,1118,2021-12-15 07:15:00,3.301174897099872e-09,1231,2021-12-15 10:15:00,1.0,0.75
