,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,173,2022-02-02 19:39:00,4.9900748671355054e-05,183,2022-02-02 20:01:00,0.5,1.5
1,173,2022-02-02 19:39:00,4.9900748671355054e-05,186,2022-02-02 20:04:00,0.5,1.2551179638051637
2,254,2022-02-03 07:53:00,0.00010958056314,254,2022-02-03 07:53:00,1.0,0.75
3,330,2022-02-04 05:36:00,4.977890969515927e-05,383,2022-02-04 08:14:00,0.5,1.5
4,330,2022-02-04 05:36:00,4.977890969515927e-05,384,2022-02-04 08:20:00,0.5,1.3932145707464616
5,401,2022-02-04 09:26:00,0.0001347165401182,401,2022-02-04 09:26:00,1.0,0.75
6,616,2022-02-05 00:14:00,5.99054596125092e-05,616,2022-02-05 00:14:00,1.0,0.75
7,776,2022-02-05 09:30:00,4.744726634878761e-05,869,2022-02-05 16:40:00,1.0,0.75
8,1019,2022-02-06 04:53:00,5.239025342090821e-05,1076,2022-02-06 08:46:00,1.0,0.75
9,1173,2022-02-06 20:20:00,0.0001711960336148,1173,2022-02-06 20:20:00,1.0,0.75
10,1347,2022-02-07 12:05:00,9.046043591891513e-05,1347,2022-02-07 12:05:00,1.0,0.75
11,1351,2022-02-07 12:10:00,5.305567485029342e-05,1351,2022-02-07 12:10:00,1.0,0.75
12,1447,2022-02-07 16:53:00,4.325950502503964e-05,1454,2022-02-07 17:20:00,1.0,0.75
13,1722,2022-02-08 06:07:00,2.918327999521276e-05,1750,2022-02-08 06:38:00,1.0,0.75
14,1769,2022-02-08 06:57:00,1.722103239565643e-05,1772,2022-02-08 07:00:00,0.5,1.5
15,1769,2022-02-08 06:57:00,1.722103239565643e-05,1774,2022-02-08 07:02:00,0.5,1.9535635310125217
16,1785,2022-02-08 07:13:00,3.395656816363189e-05,1786,2022-02-08 07:14:00,1.0,0.75
17,1788,2022-02-08 07:17:00,2.693470254791197e-05,1791,2022-02-08 07:20:00,1.0,0.75
18,1792,2022-02-08 07:21:00,3.7282016170803554e-05,1792,2022-02-08 07:21:00,1.0,0.75
19,1795,2022-02-08 07:24:00,2.23089565974993e-05,1795,2022-02-08 07:24:00,0.5,1.5
20,1795,2022-02-08 07:24:00,2.23089565974993e-05,1796,2022-02-08 07:25:00,0.5,1.8842405982308765
21,1864,2022-02-08 10:05:00,1.5931555143002867e-05,1978,2022-02-08 12:24:00,1.0,0.75
22,2155,2022-02-08 16:23:00,1.0310813501871795e-05,2176,2022-02-08 16:47:00,1.0,0.75
23,2184,2022-02-08 16:55:00,7.561480209821176e-06,2295,2022-02-08 19:00:00,0.5,1.5
24,2184,2022-02-08 16:55:00,7.561480209821176e-06,2420,2022-02-08 21:20:00,0.5,1.7570478156706875
25,2425,2022-02-08 21:27:00,1.3874950969466784e-05,2627,2022-02-09 03:11:00,1.0,0.75
26,2631,2022-02-09 03:19:00,1.0221488063471524e-05,2737,2022-02-09 06:26:00,0.5,1.5
27,2631,2022-02-09 03:19:00,1.0221488063471524e-05,2759,2022-02-09 06:52:00,0.5,1.8210468412005056
28,2766,2022-02-09 07:01:00,1.7280515012044218e-05,2784,2022-02-09 07:21:00,0.5,1.5
29,2766,2022-02-09 07:01:00,1.7280515012044218e-05,2852,2022-02-09 08:35:00,0.5,1.1133626427515393
