,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,10,2022-02-07 13:10:00,3.983698624512053e-13,11,2022-02-07 13:11:00,1.0,0.75
1,33,2022-02-07 13:33:00,2.2578751872054274e-13,59,2022-02-07 14:00:00,1.0,0.75
2,84,2022-02-07 14:27:00,1.6088545853526914e-13,95,2022-02-07 14:38:00,0.5,1.5
3,84,2022-02-07 14:27:00,1.6088545853526914e-13,130,2022-02-07 15:13:00,0.5,3.310831765074534
4,149,2022-02-07 15:33:00,4.449502718730982e-13,159,2022-02-07 15:45:00,1.0,0.75
5,165,2022-02-07 15:51:00,3.351028983760835e-13,177,2022-02-07 16:03:00,0.5,1.5
6,165,2022-02-07 15:51:00,3.351028983760835e-13,218,2022-02-07 16:44:00,0.5,3.670475617267467
7,262,2022-02-07 17:28:00,2.112928413988393e-12,293,2022-02-07 17:59:00,1.0,0.75
8,306,2022-02-07 18:12:00,1.9213817022471482e-12,334,2022-02-07 18:40:00,1.0,0.75
9,346,2022-02-07 18:52:00,1.213323593096818e-12,582,2022-02-08 01:08:00,0.5,1.5
10,346,2022-02-07 18:52:00,1.213323593096818e-12,626,2022-02-08 01:55:00,0.5,1.6597512983393015
11,631,2022-02-08 02:00:00,1.7222936934274176e-12,683,2022-02-08 02:59:00,1.0,0.75
12,698,2022-02-08 03:14:00,1.3810949118894393e-12,878,2022-02-08 06:40:00,0.5,1.5
13,698,2022-02-08 03:14:00,1.3810949118894393e-12,902,2022-02-08 07:04:00,0.5,1.625666086626796
14,907,2022-02-08 07:09:00,1.9307034335549598e-12,1036,2022-02-08 09:25:00,0.5,1.5
15,907,2022-02-08 07:09:00,1.9307034335549598e-12,1226,2022-02-08 12:46:00,0.5,1.0129009420417845
16,1239,2022-02-08 13:00:00,1.959870871972833e-12,1385,2022-02-08 15:59:00,0.5,1.5
17,1239,2022-02-08 13:00:00,1.959870871972833e-12,1544,2022-02-08 18:45:00,0.5,2.2640565327485884
18,1548,2022-02-08 18:49:00,4.404969196930581e-12,1747,2022-02-09 00:53:00,1.0,0.75
19,1803,2022-02-09 02:01:00,3.63141139275618e-12,2093,2022-02-09 08:57:00,1.0,0.75
20,2100,2022-02-09 09:04:00,2.8870191009108198e-12,2316,2022-02-09 14:28:00,1.0,0.75
21,2395,2022-02-09 16:15:00,2.2200091555003818e-12,2574,2022-02-10 01:28:00,1.0,0.75
22,2618,2022-02-10 02:30:00,1.4284331249244077e-12,2781,2022-02-10 08:40:00,0.5,1.5
23,2618,2022-02-10 02:30:00,1.4284331249244077e-12,3112,2022-02-10 15:18:00,0.5,1.8450723362868835
24,3122,2022-02-10 15:28:00,2.3764105765796115e-12,3135,2022-02-10 15:42:00,1.0,0.75
25,3141,2022-02-10 15:49:00,1.5982724957709834e-12,3293,2022-02-10 19:22:00,1.0,0.75
26,3298,2022-02-10 19:29:00,1.1812996228857878e-12,3920,2022-02-11 16:42:00,0.5,1.5
27,3298,2022-02-10 19:29:00,1.1812996228857878e-12,4439,2022-02-12 14:44:00,0.5,1.0016718789276182
28,4498,2022-02-12 16:25:00,1.1610810796462377e-12,4584,2022-02-12 20:01:00,1.0,0.75
29,4721,2022-02-13 04:17:00,7.61569041911248e-13,5133,2022-02-14 04:09:00,1.0,0.75
