,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,3,2022-02-07 19:01:00,2.639712367043026e-07,3,2022-02-07 19:01:00,1.0,0.75
1,11,2022-02-07 19:09:00,1.4874106235117232e-07,70,2022-02-07 20:08:00,0.5,1.5
2,11,2022-02-07 19:09:00,1.4874106235117232e-07,122,2022-02-07 21:00:00,0.5,1.2117452845351102
3,135,2022-02-07 21:13:00,1.586176530002807e-07,1193,2022-02-08 18:29:00,0.5,1.5
4,135,2022-02-07 21:13:00,1.586176530002807e-07,2583,2022-02-10 07:23:00,0.5,1.7199527379156772
5,2594,2022-02-10 07:34:00,2.61517366052733e-07,2975,2022-02-10 15:08:00,0.5,1.5
6,2594,2022-02-10 07:34:00,2.61517366052733e-07,3266,2022-02-10 20:01:00,0.5,2.404119305087776
7,3279,2022-02-10 20:14:00,6.477428817733634e-07,3348,2022-02-10 21:23:00,1.0,0.75
8,3356,2022-02-10 21:31:00,5.084148581758301e-07,4855,2022-02-12 00:55:00,1.0,0.75
9,4882,2022-02-12 01:23:00,3.9305515580359006e-07,5785,2022-02-12 21:31:00,0.5,1.5
