,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,34,2022-02-10 13:39:00,1.950333230684666e-09,113,2022-02-10 14:58:00,1.0,0.75
1,131,2022-02-10 15:16:00,1.7123912730865721e-09,152,2022-02-10 15:37:00,0.5,1.5
2,131,2022-02-10 15:16:00,1.7123912730865721e-09,252,2022-02-10 17:17:00,0.5,2.2236503742221396
3,279,2022-02-10 17:44:00,4.905942915447863e-09,294,2022-02-10 17:59:00,1.0,0.75
4,298,2022-02-10 18:03:00,3.9369964276135235e-09,1433,2022-02-11 13:22:00,0.5,1.5
5,298,2022-02-10 18:03:00,3.9369964276135235e-09,1586,2022-02-11 15:56:00,0.5,1.282813616463378
6,1601,2022-02-11 16:11:00,4.777528698180891e-09,1731,2022-02-11 18:30:00,1.0,0.75
7,1732,2022-02-11 18:31:00,4.4225949558917205e-09,1732,2022-02-11 18:31:00,1.0,0.75
8,1735,2022-02-11 18:34:00,9.396791002578015e-12,1735,2022-02-11 18:34:00,0.5,1.5
9,1735,2022-02-11 18:34:00,9.396791002578015e-12,1737,2022-02-11 18:36:00,0.5,2.399131842797551
10,1761,2022-02-11 19:00:00,3.626438969641993e-11,1761,2022-02-11 19:00:00,1.0,0.75
11,1830,2022-02-11 20:09:00,9.3364887608903e-11,1897,2022-02-11 21:16:00,0.5,1.5
12,1830,2022-02-11 20:09:00,9.3364887608903e-11,1902,2022-02-11 21:21:00,0.5,1.8254831364278212
13,1911,2022-02-11 21:30:00,1.4725939085207907e-10,1936,2022-02-11 21:55:00,0.5,1.5
14,1911,2022-02-11 21:30:00,1.4725939085207907e-10,1942,2022-02-11 22:01:00,0.5,2.241622328676378
15,1962,2022-02-11 22:21:00,2.3058511009786264e-10,1966,2022-02-11 22:25:00,1.0,0.75
16,1989,2022-02-11 22:48:00,1.8218547287571168e-10,2055,2022-02-11 23:54:00,0.5,1.5
17,1989,2022-02-11 22:48:00,1.8218547287571168e-10,2064,2022-02-12 00:03:00,0.5,1.1382803252349283
18,2121,2022-02-12 01:00:00,1.3892779464394916e-10,2130,2022-02-12 01:09:00,1.0,0.75
19,2152,2022-02-12 01:31:00,1.3180843653824088e-10,2156,2022-02-12 01:35:00,1.0,0.75
20,2180,2022-02-12 01:59:00,1.0229032483197223e-10,2180,2022-02-12 01:59:00,1.0,0.75
21,2181,2022-02-12 02:00:00,1.0261423404170696e-10,2181,2022-02-12 02:00:00,1.0,0.75
22,2205,2022-02-12 02:24:00,7.737347990041298e-11,2222,2022-02-12 02:41:00,1.0,0.75
23,2244,2022-02-12 03:03:00,8.346085560812536e-11,2265,2022-02-12 03:24:00,1.0,0.75
24,2266,2022-02-12 03:25:00,9.840609562068742e-11,2285,2022-02-12 03:44:00,0.5,1.5
25,2266,2022-02-12 03:25:00,9.840609562068742e-11,2290,2022-02-12 03:49:00,0.5,1.6716155279494862
26,2453,2022-02-12 06:32:00,1.591294311713724e-10,2458,2022-02-12 06:37:00,1.0,0.75
27,2464,2022-02-12 06:43:00,1.3711691569211742e-10,2611,2022-02-12 09:10:00,0.5,1.5
28,2464,2022-02-12 06:43:00,1.3711691569211742e-10,2666,2022-02-12 10:05:00,0.5,2.2434723179484917
29,2693,2022-02-12 10:32:00,3.7564264934306874e-10,2711,2022-02-12 10:50:00,0.5,1.5
30,2693,2022-02-12 10:32:00,3.7564264934306874e-10,2720,2022-02-12 10:59:00,0.5,1.0417073144214752
31,2751,2022-02-12 11:30:00,3.517515342703497e-10,2811,2022-02-12 12:30:00,0.5,1.5
