,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,19,2021-12-29 20:20:00,1.415188718476116e-09,42,2021-12-29 20:43:00,0.5,1.5
1,19,2021-12-29 20:20:00,1.415188718476116e-09,48,2021-12-29 20:49:00,0.5,1.5307363109242167
2,52,2021-12-29 20:53:00,2.076112627331602e-09,55,2021-12-29 20:56:00,0.5,1.5
3,52,2021-12-29 20:53:00,2.076112627331602e-09,93,2021-12-29 21:34:00,0.5,2.2568046478021953
4,100,2021-12-29 21:41:00,4.143757248767296e-09,117,2021-12-29 21:58:00,0.5,1.5
5,100,2021-12-29 21:41:00,4.143757248767296e-09,144,2021-12-29 22:25:00,0.5,1.5786765082727134
6,153,2021-12-29 22:34:00,5.763063879746943e-09,159,2021-12-29 22:40:00,1.0,0.75
7,183,2021-12-29 23:04:00,4.225249469800138e-09,213,2021-12-29 23:34:00,1.0,0.75
8,233,2021-12-29 23:54:00,4.2810247300383485e-09,283,2021-12-30 00:47:00,1.0,0.75
9,286,2021-12-30 00:50:00,3.1869599785895564e-09,395,2021-12-30 02:52:00,1.0,0.75
10,410,2021-12-30 03:11:00,2.746534006193407e-09,539,2021-12-30 06:29:00,1.0,0.75
