,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,44,2021-12-25 16:29:00,1.1049194533832812e-10,47,2021-12-25 16:37:00,0.5,1.5
1,44,2021-12-25 16:29:00,1.1049194533832812e-10,77,2021-12-25 18:08:00,0.5,8.38164120168014
2,93,2021-12-25 18:24:00,1.725947901909521e-09,134,2021-12-25 19:05:00,0.5,1.5
3,93,2021-12-25 18:24:00,1.725947901909521e-09,151,2021-12-25 19:22:00,0.5,1.557377406759502
4,156,2021-12-25 19:28:00,2.6649590530200724e-09,192,2021-12-25 20:04:00,0.5,1.5
5,156,2021-12-25 19:28:00,2.6649590530200724e-09,204,2021-12-25 20:16:00,0.5,1.5109352314549194
6,231,2021-12-25 20:43:00,5.171993592319547e-09,297,2021-12-25 21:49:00,0.5,1.5
7,231,2021-12-25 20:43:00,5.171993592319547e-09,335,2021-12-25 22:27:00,0.5,3.101489305473085
8,370,2021-12-25 23:02:00,7.430147483491845e-09,384,2021-12-25 23:16:00,0.5,1.5
9,370,2021-12-25 23:02:00,7.430147483491845e-09,454,2021-12-26 00:26:00,0.5,1.539280786343138
10,462,2021-12-26 00:34:00,1.0931046466091849e-08,658,2021-12-26 04:40:00,1.0,0.75
11,672,2021-12-26 04:55:00,9.034705329583645e-09,872,2021-12-26 09:39:00,0.5,1.5
12,672,2021-12-26 04:55:00,9.034705329583645e-09,1006,2021-12-26 12:00:00,0.5,1.6154806004870954
13,1012,2021-12-26 12:06:00,1.2746567210250044e-08,1606,2021-12-26 23:13:00,0.5,1.5
14,1012,2021-12-26 12:06:00,1.2746567210250044e-08,1841,2021-12-27 04:20:00,0.5,1.537518330423969
15,1870,2021-12-27 05:07:00,1.871238093160794e-08,2225,2021-12-27 14:04:00,0.5,1.5
16,1870,2021-12-27 05:07:00,1.871238093160794e-08,2414,2021-12-27 17:14:00,0.5,2.365184025452035
17,2432,2021-12-27 17:32:00,4.300812856959595e-08,2513,2021-12-27 18:53:00,1.0,0.75
