,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,6,2021-12-17 14:56:00,0.1265613554578978,8,2021-12-17 14:58:00,0.5,1.5
1,6,2021-12-17 14:56:00,0.1265613554578978,13,2021-12-17 15:03:00,0.5,2.4407052307873496
2,36,2021-12-17 15:26:00,0.3401743276993862,74,2021-12-17 16:10:00,0.5,1.5
3,36,2021-12-17 15:26:00,0.3401743276993862,103,2021-12-17 16:40:00,0.5,4.26365658649621
4,193,2021-12-18 00:15:00,0.9283659809622428,407,2021-12-18 13:36:00,0.5,1.5
5,193,2021-12-18 00:15:00,0.9283659809622428,435,2021-12-18 14:18:00,0.5,1.9055206041864785
6,487,2021-12-18 15:58:00,1.6512384508071931,541,2021-12-18 19:17:00,1.0,0.75
7,554,2021-12-18 19:49:00,1.36074766635681,706,2021-12-19 09:22:00,0.5,1.5
8,554,2021-12-18 19:49:00,1.36074766635681,723,2021-12-19 09:54:00,0.5,1.5350988959719076
9,833,2021-12-19 14:56:00,1.6149937108881505,1654,2021-12-22 01:20:00,1.0,0.75
10,1972,2021-12-23 05:37:00,0.6123523143464318,2016,2021-12-23 08:49:00,1.0,0.75
11,2154,2021-12-24 00:42:00,0.5912581469943431,3396,2022-01-01 02:14:00,0.5,1.5
12,2154,2021-12-24 00:42:00,0.5912581469943431,3563,2022-01-01 15:16:00,0.5,1.5184925078098181
13,3703,2022-01-02 06:52:00,0.9983774985067938,4494,2022-01-06 02:14:00,1.0,0.75
