,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,2,2021-11-16 00:44:00,8.69039506820395e-07,7,2021-11-16 00:49:00,0.5,1.5
1,2,2021-11-16 00:44:00,8.69039506820395e-07,15,2021-11-16 00:57:00,0.5,2.577135772950532
2,43,2021-11-16 01:25:00,2.6661250219103023e-06,83,2021-11-16 02:05:00,1.0,0.75
3,88,2021-11-16 02:10:00,3.175326130449481e-06,113,2021-11-16 02:35:00,1.0,0.75
4,119,2021-11-16 02:41:00,1.9969916247174985e-06,191,2021-11-16 03:56:00,0.5,1.5
5,119,2021-11-16 02:41:00,1.9969916247174985e-06,374,2021-11-16 07:04:00,0.5,2.3199425740043065
6,391,2021-11-16 07:21:00,3.734905830468417e-06,668,2021-11-16 13:51:00,1.0,0.75
7,778,2021-11-16 16:30:00,3.202816549400021e-06,1582,2021-11-17 22:41:00,1.0,0.75
8,1589,2021-11-17 22:56:00,2.101438094474976e-06,2038,2021-11-18 20:04:00,1.0,0.75
9,2785,2021-11-20 13:22:00,4.459018206740685e-06,3322,2021-11-22 09:35:00,1.0,0.75
10,5180,2021-11-27 15:08:00,6.81027620076625e-06,5180,2021-11-27 15:08:00,1.0,0.75
11,5185,2021-11-27 15:13:00,4.345431435491931e-06,6818,2021-12-04 07:48:00,1.0,0.75
12,7243,2021-12-07 06:47:00,2.1028330626007584e-06,7879,2021-12-15 06:34:00,1.0,0.75
